,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
13502,11.23,9.99,99.99,2443460.516,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.94,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13503,10.91,9.99,99.99,2443481.439,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13504,11.29,9.99,99.99,2443483.43,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.0,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13505,10.35,9.99,99.99,2443489.411,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.4,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13506,10.99,9.99,99.99,2443572.314,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.81,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13507,11.02,9.99,99.99,2443598.318,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.86,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13508,10.85,9.99,99.99,2443599.352,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.76,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13509,11.21,9.99,99.99,2443789.58,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.97,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13510,10.39,9.99,99.99,2443793.59,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.47,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13511,10.71,9.99,99.99,2443928.405,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13512,10.52,9.99,99.99,2443931.412,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.49,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13513,11.15,9.99,99.99,2443957.343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.89,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13514,10.71,9.99,99.99,2443966.301,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.59,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13515,10.323,9.99,99.99,2444562.8297,9.99,8.332,9.99,99.99,9.99,9.99,99.99,8.876,9.99,99.99,9.99,9.424,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13516,10.362,9.99,99.99,2444913.8273,9.99,8.321,9.99,99.99,9.99,9.99,99.99,8.865,9.99,99.99,9.99,9.418,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13517,10.425,9.99,99.99,2444563.9327,9.99,8.326,9.99,99.99,9.99,9.99,99.99,8.891,9.99,99.99,9.99,9.46,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13518,10.427,9.99,99.99,2444563.9336,9.99,8.339,9.99,99.99,9.99,9.99,99.99,8.89,9.99,99.99,9.99,9.461,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13519,10.865,9.99,99.99,2444554.7857,9.99,8.47,9.99,99.99,9.99,9.99,99.99,9.055,9.99,99.99,9.99,9.71,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13520,10.925,9.99,99.99,2444215.9015,9.99,8.505,9.99,99.99,9.99,9.99,99.99,9.097,9.99,99.99,9.99,9.745,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13521,11.023,9.99,99.99,2444939.811,9.99,8.539,9.99,99.99,9.99,9.99,99.99,9.152,9.99,99.99,9.99,9.814,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13522,11.035,9.99,99.99,2444939.8121,9.99,8.537,9.99,99.99,9.99,9.99,99.99,9.143,9.99,99.99,9.99,9.811,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13523,11.088,9.99,99.99,2444555.8839,9.99,8.575,9.99,99.99,9.99,9.99,99.99,9.195,9.99,99.99,9.99,9.86,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13524,11.125,9.99,99.99,2444216.9295,9.99,8.585,9.99,99.99,9.99,9.99,99.99,9.212,9.99,99.99,9.99,9.885,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13525,11.229,9.99,99.99,2444940.8726,9.99,8.645,9.99,99.99,9.99,9.99,99.99,9.264,9.99,99.99,9.99,9.951,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13526,11.232,9.99,99.99,2444940.8739,9.99,8.653,9.99,99.99,9.99,9.99,99.99,9.273,9.99,99.99,9.99,9.967,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13527,11.291,9.99,99.99,2444217.9598,9.99,8.694,9.99,99.99,9.99,9.99,99.99,9.306,9.99,99.99,9.99,10.02,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13528,11.323,9.99,99.99,2444941.8263,9.99,8.716,9.99,99.99,9.99,9.99,99.99,9.35,9.99,99.99,9.99,10.051,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13529,11.32,9.99,99.99,2444941.8273,9.99,8.72,9.99,99.99,9.99,9.99,99.99,9.347,9.99,99.99,9.99,10.038,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13530,11.303,9.99,99.99,2444987.7084,9.99,8.737,9.99,99.99,9.99,9.99,99.99,9.357,9.99,99.99,9.99,10.048,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13531,11.315,9.99,99.99,2444987.7094,9.99,8.74,9.99,99.99,9.99,9.99,99.99,9.353,9.99,99.99,9.99,10.041,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13532,11.256,9.99,99.99,2444908.8955,9.99,8.745,9.99,99.99,9.99,9.99,99.99,9.351,9.99,99.99,9.99,10.033,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13533,11.233,9.99,99.99,2445010.7745,9.99,8.71,9.99,99.99,9.99,9.99,99.99,9.322,9.99,99.99,9.99,10.002,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13534,11.208,9.99,99.99,2445010.7779,9.99,8.712,9.99,99.99,9.99,9.99,99.99,9.318,9.99,99.99,9.99,9.981,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13535,11.231,9.99,99.99,2445010.7788,9.99,8.712,9.99,99.99,9.99,9.99,99.99,9.317,9.99,99.99,9.99,9.997,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13536,10.946,9.99,99.99,2444909.9079,9.99,8.622,9.99,99.99,9.99,9.99,99.99,9.2,9.99,99.99,9.99,9.839,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
