,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
33420,13.991,0.001,99.99,2447167.8238,9.99,10.937,0.007,99.99,9.99,9.99,99.99,11.811,0.005,99.99,9.99,12.572,0.001,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33421,14.419,0.004,99.99,2447168.8977,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.86,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33422,14.606,0.002,99.99,2447169.8995,9.99,11.257,0.007,99.99,9.99,9.99,99.99,12.187,0.004,99.99,9.99,13.023,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33423,13.555,0.004,99.99,2447170.9146,9.99,10.82,0.005,99.99,9.99,9.99,99.99,11.627,0.004,99.99,9.99,12.318,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33424,14.005,0.014,99.99,2447171.7587,9.99,10.94,0.014,99.99,9.99,9.99,99.99,11.803,0.008,99.99,9.99,12.56,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33425,14.247,0.011,99.99,2449832.6168,9.99,11.196,0.011,99.99,9.99,9.99,99.99,12.024,0.006,99.99,9.99,12.849,0.004,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33426,13.481,9.99,99.99,2449805.5915,9.99,10.866,9.99,99.99,9.99,9.99,99.99,11.621,9.99,99.99,9.99,12.336,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
33427,14.004,9.99,99.99,2449806.5731,9.99,11.004,9.99,99.99,9.99,9.99,99.99,11.84,9.99,99.99,9.99,12.655,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
33428,14.358,9.99,99.99,2449807.5766,9.99,11.15,9.99,99.99,9.99,9.99,99.99,12.037,9.99,99.99,9.99,12.931,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
33429,14.536,9.99,99.99,2449808.5785,9.99,11.291,9.99,99.99,9.99,9.99,99.99,12.168,9.99,99.99,9.99,13.039,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
33430,13.482,9.99,99.99,2449809.5545,9.99,10.851,9.99,99.99,9.99,9.99,99.99,11.62,9.99,99.99,9.99,12.355,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
33431,14.05,9.99,99.99,2449810.5595,9.99,11.002,9.99,99.99,9.99,9.99,99.99,11.852,9.99,99.99,9.99,12.659,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
33432,14.344,9.99,99.99,2449811.5527,9.99,11.134,9.99,99.99,9.99,9.99,99.99,12.027,9.99,99.99,9.99,12.893,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
