,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
6823,99.99,9.99,99.99,2451624.5922,9.99,9.79,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.577,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6824,99.99,9.99,99.99,2451624.64,9.99,9.753,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.535,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6825,99.99,9.99,99.99,2451626.6034,9.99,9.804,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.54,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6826,99.99,9.99,99.99,2451648.5903,9.99,9.295,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.758,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6827,99.99,9.99,99.99,2451649.5174,9.99,9.327,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.832,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6828,99.99,9.99,99.99,2451649.5896,9.99,9.329,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.829,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6829,99.99,9.99,99.99,2451649.6478,9.99,9.329,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.823,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6830,99.99,9.99,99.99,2451650.6269,9.99,9.362,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.914,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6831,99.99,9.99,99.99,2451651.6608,9.99,9.401,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.009,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6832,99.99,9.99,99.99,2451652.5359,9.99,9.451,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.07,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6833,99.99,9.99,99.99,2451653.5088,9.99,9.498,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.166,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6834,99.99,9.99,99.99,2451653.576,9.99,9.51,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.173,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6835,99.99,9.99,99.99,2451653.6311,9.99,9.516,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.193,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6836,99.99,9.99,99.99,2451669.4934,9.99,9.449,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.063,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6837,99.99,9.99,99.99,2451669.5776,9.99,9.451,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.087,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6838,99.99,9.99,99.99,2451669.6413,9.99,9.464,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.096,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6839,99.99,9.99,99.99,2451670.4747,9.99,9.462,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.142,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
6840,99.99,9.99,99.99,2451670.5477,9.99,9.511,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.178,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
