,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
18128,11.287,9.99,99.99,2444298.347,9.99,8.641,9.99,99.99,9.99,9.99,99.99,9.322,9.99,99.99,9.99,10.052,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
18129,11.832,9.99,99.99,2444301.315,9.99,8.961,9.99,99.99,9.99,9.99,99.99,9.686,9.99,99.99,9.99,10.466,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
18130,11.392,9.99,99.99,2444302.307,9.99,8.787,9.99,99.99,9.99,9.99,99.99,9.461,9.99,99.99,9.99,10.188,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
18131,11.486,9.99,99.99,2448883.4847,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.423,9.99,99.99,9.99,10.194,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
18132,11.861,9.99,99.99,2448885.4887,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.679,9.99,99.99,9.99,10.465,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
18133,11.622,9.99,99.99,2448886.4873,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.569,9.99,99.99,9.99,10.308,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
18134,10.974,9.99,99.99,2448888.4983,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.195,9.99,99.99,9.99,9.863,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
18135,11.154,9.99,99.99,2448890.4956,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.252,9.99,99.99,9.99,9.946,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
18136,11.452,9.99,99.99,2448891.5005,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.385,9.99,99.99,9.99,10.15,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
18137,11.782,9.99,99.99,2449806.6209,9.99,8.867,9.99,99.99,9.99,9.99,99.99,9.624,9.99,99.99,9.99,10.397,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
