,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
34098,99.99,9.99,99.99,2441392.386,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34099,99.99,9.99,99.99,2441393.367,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34100,99.99,9.99,99.99,2441394.334,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34101,99.99,9.99,99.99,2441679.496,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34102,99.99,9.99,99.99,2441680.49,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34103,99.99,9.99,99.99,2441681.481,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34104,99.99,9.99,99.99,2441682.489,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34105,99.99,9.99,99.99,2441764.338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34106,99.99,9.99,99.99,2441766.319,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34107,99.99,9.99,99.99,2441954.643,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34108,99.99,9.99,99.99,2441982.645,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34109,99.99,9.99,99.99,2441989.553,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34110,99.99,9.99,99.99,2441990.607,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34111,99.99,9.99,99.99,2442044.413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34112,99.99,9.99,99.99,2442066.469,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34113,99.99,9.99,99.99,2442069.459,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34114,99.99,9.99,99.99,2442100.275,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
34115,10.949,0.037,99.99,2443519.832,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.415,0.047,10.129,0.019,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34116,10.718,0.017,99.99,2443546.7496,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.074,0.034,9.97,0.013,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34117,10.394,0.028,99.99,2443550.7667,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.701,0.035,9.773,0.027,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34118,10.701,0.089,99.99,2443569.6208,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.964,0.092,10.059,0.087,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34119,10.957,0.029,99.99,2443572.7476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.442,0.036,10.177,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34120,10.858,0.253,99.99,2443599.5846,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.285,0.261,10.07,0.252,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34121,10.207,0.041,99.99,2443626.6056,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.504,0.042,9.604,0.036,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34122,10.51,0.023,99.99,2443843.7574,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.912,0.035,9.798,0.018,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34123,10.24,0.028,99.99,2444001.6,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.335,0.064,9.649,0.011,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34124,10.019,9.99,99.99,2444986.7709,9.99,8.822,9.99,99.99,9.99,9.99,99.99,9.171,9.99,99.99,9.99,9.505,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
34125,10.033,9.99,99.99,2444986.8243,9.99,8.802,9.99,99.99,9.99,9.99,99.99,9.166,9.99,99.99,9.99,9.503,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
34126,10.055,9.99,99.99,2444986.8752,9.99,8.809,9.99,99.99,9.99,9.99,99.99,9.179,9.99,99.99,9.99,9.526,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
34127,10.066,9.99,99.99,2444986.9115,9.99,8.812,9.99,99.99,9.99,9.99,99.99,9.175,9.99,99.99,9.99,9.529,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
