,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
21398,99.99,9.99,99.99,2449612.864,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.66,0.002,99.99,9.99,11.525,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21399,99.99,9.99,99.99,2449645.845,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.36,0.001,99.99,9.99,11.176,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21400,99.99,9.99,99.99,2449650.741,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.204,0.002,99.99,9.99,10.907,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21401,99.99,9.99,99.99,2449652.674,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.323,0.002,99.99,9.99,11.12,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21402,99.99,9.99,99.99,2449892.733,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.459,0.002,99.99,9.99,11.263,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21403,99.99,9.99,99.99,2449908.729,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.683,0.004,99.99,9.99,11.505,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21404,99.99,9.99,99.99,2449909.731,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.644,0.002,99.99,9.99,11.49,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21405,99.99,9.99,99.99,2449936.725,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.524,0.002,99.99,9.99,11.391,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21406,99.99,9.99,99.99,2449940.668,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.196,0.002,99.99,9.99,10.931,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21407,99.99,9.99,99.99,2450004.589,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.361,0.001,99.99,9.99,11.12,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21408,99.99,9.99,99.99,2450018.733,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.467,0.002,99.99,9.99,11.279,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
21409,99.99,9.99,99.99,2449934.4593,9.99,9.575,9.99,99.99,9.99,9.99,99.99,10.293,9.99,99.99,9.99,11.118,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21410,99.99,9.99,99.99,2449935.429,9.99,9.568,9.99,99.99,9.99,9.99,99.99,10.354,9.99,99.99,9.99,11.163,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21411,99.99,9.99,99.99,2449936.4182,9.99,9.689,9.99,99.99,9.99,9.99,99.99,10.506,9.99,99.99,9.99,11.37,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21412,99.99,9.99,99.99,2449937.4243,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.583,9.99,99.99,9.99,11.467,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21413,99.99,9.99,99.99,2449938.4462,9.99,9.824,9.99,99.99,9.99,9.99,99.99,10.632,9.99,99.99,9.99,11.524,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21414,99.99,9.99,99.99,2449941.4244,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21415,99.99,9.99,99.99,2449942.3981,9.99,9.602,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.206,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21416,99.99,9.99,99.99,2449943.389,9.99,9.66,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.328,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21417,99.99,9.99,99.99,2449944.4205,9.99,9.732,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.439,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21418,99.99,9.99,99.99,2449946.4182,9.99,9.734,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.315,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21419,99.99,9.99,99.99,2449947.3758,9.99,9.522,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.911,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21420,99.99,9.99,99.99,2449948.3429,9.99,9.524,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.992,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21421,99.99,9.99,99.99,2449949.3382,9.99,9.614,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.176,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21422,99.99,9.99,99.99,2449952.3221,9.99,9.832,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.52,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21423,99.99,9.99,99.99,2449953.3988,9.99,9.771,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.41,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21424,99.99,9.99,99.99,2449954.3494,9.99,9.553,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.974,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21425,99.99,9.99,99.99,2449955.3111,9.99,9.529,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.953,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
21426,12.48,9.99,99.99,2450311.399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.337,9.99,99.99,9.99,11.14,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
21427,12.697,9.99,99.99,2450312.3889,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.446,9.99,99.99,9.99,11.3,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
21428,12.972,9.99,99.99,2450314.3603,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.651,9.99,99.99,9.99,11.512,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
21429,12.565,9.99,99.99,2450315.3198,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.427,9.99,99.99,9.99,11.226,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
21430,12.077,9.99,99.99,2450316.3184,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.145,9.99,99.99,9.99,10.886,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
21431,12.267,9.99,99.99,2450317.3282,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.211,9.99,99.99,9.99,10.967,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
21432,12.514,9.99,99.99,2450318.3371,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.354,9.99,99.99,9.99,11.155,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
21433,12.652,9.99,99.99,2450319.3081,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.389,9.99,99.99,9.99,11.205,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
