,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
15611,12.07,9.99,99.99,2443424.603,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.73,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15612,11.72,9.99,99.99,2443425.616,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.49,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15613,11.35,9.99,99.99,2443438.59,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.21,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15614,12.08,9.99,99.99,2443483.569,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.68,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15615,11.33,9.99,99.99,2443490.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.24,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15616,11.97,9.99,99.99,2443524.252,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.57,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15617,11.46,9.99,99.99,2443777.514,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.25,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15618,11.52,9.99,99.99,2443789.513,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.25,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15619,12.23,9.99,99.99,2443793.578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.79,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15620,12.21,9.99,99.99,2443803.408,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.81,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15621,12.19,9.99,99.99,2443926.386,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.76,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15622,12.15,9.99,99.99,2443928.369,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.79,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15623,11.51,9.99,99.99,2443931.394,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.3,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15624,11.86,9.99,99.99,2443935.298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.5,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
