,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
22288,11.55,9.99,99.99,2442424.407,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.57,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22289,12.08,9.99,99.99,2442453.457,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.95,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22290,12.02,9.99,99.99,2442473.259,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.9,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22291,12.49,9.99,99.99,2442711.553,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.21,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22292,12.58,9.99,99.99,2442712.522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.3,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22293,11.8,9.99,99.99,2442715.594,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.75,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22294,11.9,9.99,99.99,2442743.488,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.82,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22295,11.89,9.99,99.99,2442756.532,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.83,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22296,11.25,9.99,99.99,2442775.336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.37,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22297,11.67,9.99,99.99,2442776.37,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.65,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22298,11.38,9.99,99.99,2442816.264,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.55,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22299,12.48,9.99,99.99,2443124.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.19,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22300,12.55,9.99,99.99,2443192.369,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.31,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22301,11.53,9.99,99.99,2443214.302,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.7,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22302,12.03,9.99,99.99,2443423.544,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.94,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22303,11.27,9.99,99.99,2443789.499,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
22304,99.99,9.99,99.99,2447946.663,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.611,0.002,99.99,9.99,11.316,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
22305,99.99,9.99,99.99,2447954.681,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.091,0.002,99.99,9.99,10.646,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
22306,99.99,9.99,99.99,2448150.845,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.13,0.002,99.99,9.99,10.697,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
22307,99.99,9.99,99.99,2448156.837,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.575,0.002,99.99,9.99,11.272,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
