,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
29364,99.99,9.99,99.99,2441304.404,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29365,99.99,9.99,99.99,2441401.333,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29366,99.99,9.99,99.99,2441402.342,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29367,99.99,9.99,99.99,2441606.633,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29368,99.99,9.99,99.99,2441634.453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29369,99.99,9.99,99.99,2441679.314,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29370,99.99,9.99,99.99,2441680.522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29371,99.99,9.99,99.99,2441681.507,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29372,99.99,9.99,99.99,2441694.476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29373,99.99,9.99,99.99,2441772.308,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29374,99.99,9.99,99.99,2441931.596,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29375,99.99,9.99,99.99,2441935.46,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29376,99.99,9.99,99.99,2441935.612,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29377,99.99,9.99,99.99,2441942.484,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29378,99.99,9.99,99.99,2441963.476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29379,99.99,9.99,99.99,2442001.459,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29380,99.99,9.99,99.99,2442066.272,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29381,99.99,9.99,99.99,2442066.488,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29382,99.99,9.99,99.99,2442070.399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29383,99.99,9.99,99.99,2442141.277,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29384,99.99,9.99,99.99,2443078.406,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29385,99.99,9.99,99.99,2443124.504,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29386,99.99,9.99,99.99,2443140.298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29387,99.99,9.99,99.99,2443162.342,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29388,99.99,9.99,99.99,2443176.417,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29389,99.99,9.99,99.99,2443178.223,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29390,99.99,9.99,99.99,2443191.239,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29391,99.99,9.99,99.99,2443209.253,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29392,99.99,9.99,99.99,2443210.313,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
29393,10.84,0.037,99.99,2443519.7407,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.977,0.047,9.391,0.019,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29394,11.481,0.017,99.99,2443546.6756,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.638,0.034,9.94,0.013,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29395,11.188,0.028,99.99,2443550.6934,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.311,0.035,9.752,0.027,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29396,10.424,0.029,99.99,2443558.6461,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.331,0.033,9.318,0.027,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29397,11.534,0.029,99.99,2443572.697,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.665,0.036,10.061,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29398,11.286,0.025,99.99,2443774.744,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.424,0.032,9.805,0.023,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29399,11.243,0.017,99.99,2443811.708,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.273,0.028,9.842,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29400,11.094,0.017,99.99,2443811.8181,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.062,0.028,9.743,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29401,10.944,0.017,99.99,2443811.9046,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.868,0.028,9.636,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29402,11.581,0.019,99.99,2443910.5739,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.933,0.026,10.07,0.012,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
29403,10.384,9.99,99.99,2445045.589,9.99,7.839,9.99,99.99,9.99,9.99,99.99,8.565,9.99,99.99,9.99,9.272,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29404,10.378,9.99,99.99,2445045.6445,9.99,7.857,9.99,99.99,9.99,9.99,99.99,8.562,9.99,99.99,9.99,9.277,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29405,10.374,9.99,99.99,2445045.6738,9.99,7.854,9.99,99.99,9.99,9.99,99.99,8.559,9.99,99.99,9.99,9.271,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29406,10.576,9.99,99.99,2444886.8915,9.99,7.912,9.99,99.99,9.99,9.99,99.99,8.63,9.99,99.99,9.99,9.386,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29407,10.551,9.99,99.99,2444911.7791,9.99,7.892,9.99,99.99,9.99,9.99,99.99,8.624,9.99,99.99,9.99,9.37,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29408,10.605,9.99,99.99,2444911.8969,9.99,7.933,9.99,99.99,9.99,9.99,99.99,8.657,9.99,99.99,9.99,9.421,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
