,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
12607,14.573,9.99,99.99,2444825.3867,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.564,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12608,99.99,9.99,99.99,2444827.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.35,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12609,13.587,9.99,99.99,2444829.2812,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.833,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12610,13.74,9.99,99.99,2444830.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.939,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12611,13.969,9.99,99.99,2444831.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.085,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12612,14.2,9.99,99.99,2444832.2617,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.21,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12613,14.366,9.99,99.99,2444833.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.323,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12614,14.824,9.99,99.99,2444835.371,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.657,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12615,14.125,9.99,99.99,2444844.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.173,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12616,14.323,9.99,99.99,2444845.2109,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.297,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12617,14.514,9.99,99.99,2444846.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.434,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12618,14.663,9.99,99.99,2444847.2226,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.547,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12619,14.857,9.99,99.99,2444848.2147,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.707,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12620,14.759,9.99,99.99,2444849.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.68,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12621,14.43,9.99,99.99,2444850.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.451,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12622,14.236,9.99,99.99,2444851.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.347,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12623,14.025,9.99,99.99,2444852.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.227,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12624,13.641,9.99,99.99,2444854.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.878,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12625,13.875,9.99,99.99,2444855.2226,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.032,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12626,14.088,9.99,99.99,2444856.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.18,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12627,14.303,9.99,99.99,2444857.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.312,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12628,13.985,9.99,99.99,2444880.207,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.078,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12629,14.183,9.99,99.99,2444881.1953,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.206,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12630,14.399,9.99,99.99,2444882.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.351,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12631,14.743,9.99,99.99,2444884.1679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.651,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12632,14.348,9.99,99.99,2445175.4062,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.308,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12633,14.818,9.99,99.99,2445178.3788,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.679,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12634,14.749,9.99,99.99,2445179.2772,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.667,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12635,14.418,9.99,99.99,2445180.3046,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.442,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12636,14.252,9.99,99.99,2445181.2538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.349,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12637,14.042,9.99,99.99,2445182.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.224,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
