,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
35025,99.99,9.99,99.99,2448191.837,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.267,0.002,99.99,9.99,12.049,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35026,99.99,9.99,99.99,2448206.835,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.382,0.003,99.99,9.99,12.25,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35027,99.99,9.99,99.99,2448210.834,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.522,0.003,99.99,9.99,12.421,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35028,99.99,9.99,99.99,2448227.657,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.159,0.002,99.99,9.99,11.913,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35029,99.99,9.99,99.99,2448233.852,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.554,0.004,99.99,9.99,12.701,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35030,99.99,9.99,99.99,2448514.961,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.621,0.003,99.99,9.99,12.521,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35031,99.99,9.99,99.99,2448548.74,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.737,0.004,99.99,9.99,12.617,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35032,99.99,9.99,99.99,2448552.734,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.318,0.003,99.99,9.99,12.078,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35033,99.99,9.99,99.99,2448581.786,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.172,0.004,99.99,9.99,11.906,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35034,99.99,9.99,99.99,2448594.737,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.659,0.004,99.99,9.99,12.575,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35035,99.99,9.99,99.99,2448605.833,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.702,0.004,99.99,9.99,12.64,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35036,13.302,9.99,99.99,2447167.9343,9.99,10.409,9.99,99.99,9.99,9.99,99.99,11.258,9.99,99.99,9.99,11.981,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35037,13.623,9.99,99.99,2447168.8756,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.182,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35038,14.04,9.99,99.99,2447169.7355,9.99,10.668,9.99,99.99,9.99,9.99,99.99,11.645,9.99,99.99,9.99,12.471,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35039,14.22,9.99,99.99,2447170.606,9.99,10.813,9.99,99.99,9.99,9.99,99.99,11.782,9.99,99.99,9.99,12.626,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35040,14.247,9.99,99.99,2447170.9004,9.99,10.82,9.99,99.99,9.99,9.99,99.99,11.809,9.99,99.99,9.99,12.647,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35041,13.183,9.99,99.99,2447171.5979,9.99,10.355,9.99,99.99,9.99,9.99,99.99,11.191,9.99,99.99,9.99,11.91,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35042,99.99,9.99,99.99,2447452.959,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.679,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35043,99.99,9.99,99.99,2447453.8229,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.903,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35044,99.99,9.99,99.99,2447454.832,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.343,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35045,99.99,9.99,99.99,2447455.8509,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.625,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35046,99.99,9.99,99.99,2447456.7655,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.647,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35047,13.923,9.99,99.99,2446294.4831,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.509,9.99,99.99,9.99,12.404,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35048,14.146,9.99,99.99,2446295.4656,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.708,9.99,99.99,9.99,12.628,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35049,13.593,9.99,99.99,2446297.4805,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.346,9.99,99.99,9.99,12.208,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35050,14.022,9.99,99.99,2446298.4851,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.611,9.99,99.99,9.99,12.553,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35051,14.192,9.99,99.99,2446299.4547,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.764,9.99,99.99,9.99,12.69,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35052,13.147,9.99,99.99,2446300.4569,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.138,9.99,99.99,9.99,11.908,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35053,13.822,9.99,99.99,2446301.4824,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.474,9.99,99.99,9.99,12.368,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
