,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
23683,8.6,9.99,99.99,2442404.52,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.19,9.99,7.52,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23684,8.07,9.99,99.99,2442424.37,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,7.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23685,8.3,9.99,99.99,2442432.301,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.91,9.99,7.27,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23686,9.02,9.99,99.99,2442448.432,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.81,9.99,7.81,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23687,8.2,9.99,99.99,2442451.352,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.85,9.99,7.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23688,8.75,9.99,99.99,2442453.397,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.5,9.99,7.56,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23689,9.02,9.99,99.99,2442454.345,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.77,9.99,7.77,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23690,9.06,9.99,99.99,2442455.361,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.8,9.99,7.84,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23691,8.87,9.99,99.99,2442460.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.63,9.99,7.66,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23692,8.5,9.99,99.99,2442465.252,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.18,9.99,7.4,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23693,8.4,9.99,99.99,2442471.317,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.08,9.99,7.36,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23694,8.59,9.99,99.99,2442685.584,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.24,9.99,7.43,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23695,8.61,9.99,99.99,2442711.631,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.38,9.99,7.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23696,8.49,9.99,99.99,2442743.469,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.28,9.99,7.37,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23697,8.54,9.99,99.99,2442756.377,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.24,9.99,7.36,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23698,7.97,9.99,99.99,2442767.361,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.63,9.99,7.06,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23699,8.93,9.99,99.99,2442777.317,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.78,9.99,7.7,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23700,8.97,9.99,99.99,2442829.336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.8,9.99,7.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23701,8.4,9.99,99.99,2442831.286,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.05,9.99,7.39,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23702,8.8,9.99,99.99,2442837.271,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.59,9.99,7.67,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23703,9.0,9.99,99.99,2442869.283,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.77,9.99,7.82,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23704,8.16,9.99,99.99,2442871.278,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.74,9.99,7.16,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23705,7.98,9.99,99.99,2443426.457,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.49,9.99,7.06,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23706,7.966,9.99,99.99,2443736.9801,9.99,5.947,9.99,99.99,9.99,9.99,99.99,6.542,9.99,99.99,9.99,7.084,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
23707,8.047,9.99,99.99,2443937.5825,9.99,5.961,9.99,99.99,9.99,9.99,99.99,6.548,9.99,99.99,9.99,7.133,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
23708,8.131,9.99,99.99,2443730.9946,9.99,6.002,9.99,99.99,9.99,9.99,99.99,6.595,9.99,99.99,9.99,7.194,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
23709,8.167,9.99,99.99,2444215.832,9.99,6.0,9.99,99.99,9.99,9.99,99.99,6.607,9.99,99.99,9.99,7.205,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
23710,8.247,9.99,99.99,2443569.683,9.99,6.035,9.99,99.99,9.99,9.99,99.99,6.627,9.99,99.99,9.99,7.261,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
23711,8.269,9.99,99.99,2443821.8578,9.99,6.047,9.99,99.99,9.99,9.99,99.99,6.661,9.99,99.99,9.99,7.279,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
