,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
35370,99.99,9.99,99.99,2448528.823,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.939,0.005,99.99,9.99,12.652,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35371,99.99,9.99,99.99,2448535.863,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.633,0.005,99.99,9.99,12.249,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35372,99.99,9.99,99.99,2448546.734,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.841,0.006,99.99,9.99,12.587,0.007,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35373,99.99,9.99,99.99,2448546.813,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.874,0.005,99.99,9.99,12.588,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35374,99.99,9.99,99.99,2448569.688,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.574,0.005,99.99,9.99,12.125,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35375,99.99,9.99,99.99,2448569.981,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.612,0.005,99.99,9.99,12.281,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35376,99.99,9.99,99.99,2448573.879,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.83,0.003,99.99,9.99,12.521,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35377,99.99,9.99,99.99,2448574.763,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.928,0.005,99.99,9.99,12.669,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35378,99.99,9.99,99.99,2448594.604,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.716,0.005,99.99,9.99,12.348,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35379,99.99,9.99,99.99,2448597.648,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.705,0.005,99.99,9.99,12.353,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35380,99.99,9.99,99.99,2448605.574,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.899,0.007,99.99,9.99,12.65,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
