,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
23560,99.99,9.99,99.99,2451622.6348,9.99,8.581,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.341,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23561,99.99,9.99,99.99,2451624.581,9.99,8.72,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.634,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23562,99.99,9.99,99.99,2451624.6325,9.99,8.738,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.676,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23563,99.99,9.99,99.99,2451626.596,9.99,8.979,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.934,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23564,99.99,9.99,99.99,2451648.5817,9.99,8.509,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.218,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23565,99.99,9.99,99.99,2451649.5096,9.99,8.635,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.456,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23566,99.99,9.99,99.99,2451649.5789,9.99,8.651,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.459,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23567,99.99,9.99,99.99,2451649.6332,9.99,8.656,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.485,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23568,99.99,9.99,99.99,2451650.6209,9.99,8.694,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.568,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
23569,99.99,9.99,99.99,2451651.6547,9.99,8.879,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.838,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
