,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
27876,9.4,9.99,99.99,2442278.492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.84,9.99,8.56,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27877,9.4,9.99,99.99,2442289.468,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.95,9.99,8.56,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27878,10.04,9.99,99.99,2442297.457,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.74,9.99,9.03,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27879,10.24,9.99,99.99,2442314.331,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.03,9.99,9.21,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27880,10.06,9.99,99.99,2442318.408,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.74,9.99,8.97,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27881,9.73,9.99,99.99,2442365.278,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.43,9.99,8.76,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27882,9.45,9.99,99.99,2442407.193,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.0,9.99,8.59,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27883,10.2,9.99,99.99,2442591.444,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.0,9.99,9.14,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27884,9.99,9.99,99.99,2442675.365,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.74,9.99,8.88,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27885,10.14,9.99,99.99,2442676.366,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.83,9.99,9.06,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27886,9.82,9.99,99.99,2442685.458,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.55,9.99,8.79,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27887,9.9,9.99,99.99,2442712.364,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.59,9.99,8.85,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27888,9.97,9.99,99.99,2442720.301,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.58,9.99,8.99,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27889,9.58,9.99,99.99,2442743.358,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.19,9.99,8.65,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27890,9.52,9.99,99.99,2442939.423,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.02,9.99,8.63,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27891,9.71,9.99,99.99,2442960.483,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.37,9.99,8.83,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27892,10.15,9.99,99.99,2443050.472,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.87,9.99,9.09,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27893,9.37,9.99,99.99,2444912.6877,9.99,7.601,9.99,99.99,9.99,9.99,99.99,8.104,9.99,99.99,9.99,8.58,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27894,9.383,9.99,99.99,2444912.7508,9.99,7.607,9.99,99.99,9.99,9.99,99.99,8.103,9.99,99.99,9.99,8.577,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27895,9.403,9.99,99.99,2444555.5936,9.99,7.602,9.99,99.99,9.99,9.99,99.99,8.098,9.99,99.99,9.99,8.587,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27896,9.419,9.99,99.99,2444555.6405,9.99,7.601,9.99,99.99,9.99,9.99,99.99,8.111,9.99,99.99,9.99,8.596,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27897,9.464,9.99,99.99,2444491.7061,9.99,7.613,9.99,99.99,9.99,9.99,99.99,8.109,9.99,99.99,9.99,8.614,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27898,9.567,9.99,99.99,2444486.7259,9.99,7.644,9.99,99.99,9.99,9.99,99.99,8.168,9.99,99.99,9.99,8.689,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27899,9.615,9.99,99.99,2444486.9046,9.99,7.654,9.99,99.99,9.99,9.99,99.99,8.192,9.99,99.99,9.99,8.728,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27900,9.74,9.99,99.99,2444556.5939,9.99,7.693,9.99,99.99,9.99,9.99,99.99,8.23,9.99,99.99,9.99,8.788,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27901,9.83,9.99,99.99,2444460.9417,9.99,7.738,9.99,99.99,9.99,9.99,99.99,8.282,9.99,99.99,9.99,8.854,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27902,9.939,9.99,99.99,2444487.8859,9.99,7.751,9.99,99.99,9.99,9.99,99.99,8.316,9.99,99.99,9.99,8.899,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27903,9.986,9.99,99.99,2444914.705,9.99,7.809,9.99,99.99,9.99,9.99,99.99,8.374,9.99,99.99,9.99,8.954,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27904,10.049,9.99,99.99,2444909.6837,9.99,7.82,9.99,99.99,9.99,9.99,99.99,8.413,9.99,99.99,9.99,9.005,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27905,10.062,9.99,99.99,2444493.878,9.99,7.818,9.99,99.99,9.99,9.99,99.99,8.404,9.99,99.99,9.99,9.002,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27906,10.06,9.99,99.99,2444461.9362,9.99,7.835,9.99,99.99,9.99,9.99,99.99,8.421,9.99,99.99,9.99,9.017,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27907,10.101,9.99,99.99,2444104.9482,9.99,7.84,9.99,99.99,9.99,9.99,99.99,8.44,9.99,99.99,9.99,9.041,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27908,10.188,9.99,99.99,2444099.9415,9.99,7.914,9.99,99.99,9.99,9.99,99.99,8.5,9.99,99.99,9.99,9.107,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27909,10.218,9.99,99.99,2444942.5828,9.99,7.93,9.99,99.99,9.99,9.99,99.99,8.523,9.99,99.99,9.99,9.123,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27910,10.182,9.99,99.99,2444142.8059,9.99,7.915,9.99,99.99,9.99,9.99,99.99,8.508,9.99,99.99,9.99,9.117,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
27911,10.266,9.99,99.99,2444494.8929,9.99,7.956,9.99,99.99,9.99,9.99,99.99,8.563,9.99,99.99,9.99,9.173,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
