,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
18204,10.69,9.99,99.99,2442404.597,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.45,9.99,9.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18205,10.3,9.99,99.99,2442443.408,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.82,9.99,9.27,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18206,10.41,9.99,99.99,2442448.489,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.96,9.99,9.41,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18207,10.27,9.99,99.99,2442450.431,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.9,9.99,9.27,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18208,10.88,9.99,99.99,2442453.493,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.62,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18209,11.05,9.99,99.99,2442454.363,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.97,9.99,9.82,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18210,10.9,9.99,99.99,2442455.463,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.74,9.99,9.73,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18211,10.05,9.99,99.99,2442465.278,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.65,9.99,9.13,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18212,10.65,9.99,99.99,2442468.251,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.29,9.99,9.5,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18213,10.2,9.99,99.99,2442794.233,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.86,9.99,9.25,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18214,10.62,9.99,99.99,2442816.242,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.3,9.99,9.58,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
