,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
4875,11.142,9.99,99.99,2444827.4256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.674,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4876,11.393,9.99,99.99,2444829.4256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.877,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4877,11.589,9.99,99.99,2444830.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.995,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4878,11.732,9.99,99.99,2444831.3828,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.043,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4879,11.894,9.99,99.99,2444832.4413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.122,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4880,12.005,9.99,99.99,2444833.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.195,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4881,12.128,9.99,99.99,2444834.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.26,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4882,12.244,9.99,99.99,2444835.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.328,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4883,12.134,9.99,99.99,2444880.4101,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.224,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4884,12.256,9.99,99.99,2444881.3671,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.319,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4885,12.445,9.99,99.99,2444883.496,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.433,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4886,12.439,9.99,99.99,2444883.3203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.461,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4887,12.573,9.99,99.99,2444884.3671,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.551,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4888,12.304,9.99,99.99,2445180.4139,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.357,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4889,12.392,9.99,99.99,2445181.4179,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.418,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4890,12.496,9.99,99.99,2445182.4179,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.477,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4891,12.614,9.99,99.99,2445183.4256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.574,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4892,12.745,9.99,99.99,2445184.4101,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.669,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4893,12.912,9.99,99.99,2445186.4413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.8,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4894,12.984,9.99,99.99,2445187.4139,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.881,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4895,12.992,9.99,99.99,2445188.4179,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.897,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4896,12.982,9.99,99.99,2445189.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.91,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4897,12.962,9.99,99.99,2445190.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.935,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4898,12.944,9.99,99.99,2445191.4139,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.935,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4899,12.91,9.99,99.99,2445192.4256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.932,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4900,12.663,9.99,99.99,2445193.4413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.796,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4901,11.563,9.99,99.99,2445194.4296,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.041,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4902,11.676,9.99,99.99,2445198.4375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.012,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4903,11.822,9.99,99.99,2445199.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.09,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4904,11.958,9.99,99.99,2445200.4647,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.173,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4905,12.08,9.99,99.99,2445201.4687,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.223,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4906,12.508,9.99,99.99,2445205.4022,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.491,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4907,99.99,9.99,99.99,2445649.4256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.767,9.99,99.99,9.99,10.938,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4908,99.99,9.99,99.99,2445665.4335,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.424,9.99,99.99,9.99,10.597,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4909,99.99,9.99,99.99,2445666.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.495,9.99,99.99,9.99,10.671,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4910,11.734,9.99,99.99,2445676.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.152,9.99,12.872,9.99,10.14,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4911,11.514,9.99,99.99,2445679.3242,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.956,9.99,12.666,9.99,9.931,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4912,12.552,9.99,99.99,2445687.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.37,9.99,99.99,9.99,10.506,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4913,12.729,9.99,99.99,2445689.3554,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.488,9.99,14.967,9.99,10.66,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4914,12.83,9.99,99.99,2445690.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.564,9.99,15.281,9.99,10.752,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4915,12.91,9.99,99.99,2445691.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.62,9.99,15.179,9.99,10.811,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
