,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
28436,12.503,9.99,99.99,2446252.3774,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.034,9.99,99.99,9.99,10.944,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28437,11.539,9.99,99.99,2446253.3087,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.483,9.99,12.468,9.99,10.261,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28438,12.342,9.99,99.99,2446255.3388,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.858,9.99,99.99,9.99,10.777,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28439,12.589,9.99,99.99,2446256.3576,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.016,9.99,99.99,9.99,10.964,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28440,12.642,9.99,99.99,2446257.3651,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.096,9.99,99.99,9.99,11.036,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28441,11.58,9.99,99.99,2446258.3192,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.524,9.99,12.51,9.99,10.301,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28442,11.902,9.99,99.99,2446259.3246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.633,9.99,12.894,9.99,10.476,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28443,12.278,9.99,99.99,2446260.3029,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.841,9.99,13.364,9.99,10.729,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28444,12.524,9.99,99.99,2446261.3116,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.988,9.99,13.773,9.99,10.928,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28445,12.695,9.99,99.99,2446262.3486,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.106,9.99,13.925,9.99,11.054,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28446,11.743,9.99,99.99,2446263.349,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.615,9.99,12.691,9.99,10.413,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28447,12.246,9.99,99.99,2446265.323,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.82,9.99,13.346,9.99,10.719,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28448,12.494,9.99,99.99,2446266.3198,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.956,9.99,13.696,9.99,10.896,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28449,12.707,9.99,99.99,2446267.2988,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.098,9.99,13.993,9.99,11.047,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28450,12.074,9.99,99.99,2446268.2925,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.796,9.99,13.08,9.99,10.645,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28451,11.672,9.99,99.99,2446269.2845,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.545,9.99,12.628,9.99,10.34,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28452,12.112,9.99,99.99,2446270.2999,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.746,9.99,13.194,9.99,10.639,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28453,12.649,9.99,99.99,2446272.2641,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.073,9.99,13.928,9.99,11.019,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28454,12.365,9.99,99.99,2446273.3248,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.944,9.99,99.99,9.99,10.837,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28455,11.598,9.99,99.99,2446274.2977,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.511,9.99,12.558,9.99,10.291,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28456,12.066,9.99,99.99,2446275.3241,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.722,9.99,99.99,9.99,10.597,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28457,11.546,9.99,99.99,2446279.2856,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.502,9.99,99.99,9.99,10.27,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28458,11.939,9.99,99.99,2446280.2891,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.66,9.99,99.99,9.99,10.516,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28459,12.708,9.99,99.99,2446283.2489,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.131,9.99,99.99,9.99,11.074,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28460,11.633,9.99,99.99,2446284.2135,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.553,9.99,99.99,9.99,10.337,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28461,12.266,9.99,99.99,2446286.2113,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.832,9.99,99.99,9.99,10.727,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28462,12.517,9.99,99.99,2446287.2096,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.972,9.99,99.99,9.99,10.897,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28463,12.727,9.99,99.99,2446288.2212,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.122,9.99,99.99,9.99,11.056,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28464,11.882,9.99,99.99,2446289.2316,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.712,9.99,99.99,9.99,10.531,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28465,11.785,9.99,99.99,2446290.2188,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.612,9.99,99.99,9.99,10.411,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28466,12.174,9.99,99.99,2446291.204,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.778,9.99,99.99,9.99,10.668,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28467,12.482,9.99,99.99,2446292.2054,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.951,9.99,99.99,9.99,10.864,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28468,12.689,9.99,99.99,2446293.2379,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.082,9.99,99.99,9.99,11.033,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28469,12.191,9.99,99.99,2446294.203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.865,9.99,99.99,9.99,10.738,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28470,11.636,9.99,99.99,2446295.1809,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.535,9.99,99.99,9.99,10.332,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28471,12.103,9.99,99.99,2446296.1889,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.743,9.99,99.99,9.99,10.613,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28472,12.409,9.99,99.99,2446297.1974,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.909,9.99,99.99,9.99,10.827,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28473,12.691,9.99,99.99,2446298.2176,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.094,9.99,99.99,9.99,11.049,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28474,12.475,9.99,99.99,2446299.1853,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.011,9.99,99.99,9.99,10.918,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28475,11.595,9.99,99.99,2446300.1842,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.522,9.99,99.99,9.99,10.293,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28476,12.014,9.99,99.99,2446301.2019,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.706,9.99,99.99,9.99,10.569,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28477,12.424,9.99,99.99,2446302.1998,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.905,9.99,99.99,9.99,10.81,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28478,12.618,9.99,99.99,2446303.174,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.045,9.99,99.99,9.99,10.981,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28479,12.67,9.99,99.99,2446304.1558,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.125,9.99,99.99,9.99,11.055,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28480,12.403,9.99,99.99,2447409.2175,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.932,9.99,99.99,9.99,10.831,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28481,12.626,9.99,99.99,2447410.2256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.06,9.99,99.99,9.99,11.005,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28482,12.574,9.99,99.99,2447411.2363,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.1,9.99,99.99,9.99,11.027,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28483,11.929,9.99,99.99,2447413.1939,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.66,9.99,99.99,9.99,10.51,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28484,12.313,9.99,99.99,2447414.1806,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.852,9.99,99.99,9.99,10.74,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28485,12.572,9.99,99.99,2447415.1827,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.017,9.99,99.99,9.99,10.936,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28486,12.674,9.99,99.99,2447416.1877,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.141,9.99,99.99,9.99,11.058,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28487,11.653,9.99,99.99,2447417.1822,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.588,9.99,99.99,9.99,10.368,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28488,11.835,9.99,99.99,2447418.183,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.635,9.99,99.99,9.99,10.457,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28489,12.144,9.99,99.99,2447419.1607,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.775,9.99,99.99,9.99,10.639,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28490,12.489,9.99,99.99,2447420.1653,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.971,9.99,99.99,9.99,10.88,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28491,12.682,9.99,99.99,2447421.158,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.099,9.99,99.99,9.99,11.021,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28492,11.97,9.99,99.99,2447422.1634,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.75,9.99,99.99,9.99,10.577,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28493,11.737,9.99,99.99,2447423.1541,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.585,9.99,99.99,9.99,10.371,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28494,12.167,9.99,99.99,2447424.1597,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.781,9.99,99.99,9.99,10.663,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28495,12.429,9.99,99.99,2447425.1702,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.956,9.99,99.99,9.99,10.852,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28496,12.272,9.99,99.99,2447427.1849,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.949,9.99,99.99,9.99,10.803,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28497,11.632,9.99,99.99,2447428.1683,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.563,9.99,99.99,9.99,10.325,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28498,12.082,9.99,99.99,2447429.1517,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.749,9.99,99.99,9.99,10.61,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28499,12.383,9.99,99.99,2447430.1368,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.908,9.99,99.99,9.99,10.818,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28500,12.631,9.99,99.99,2447431.1476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.09,9.99,99.99,9.99,11.007,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28501,12.489,9.99,99.99,2447432.1344,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.031,9.99,99.99,9.99,10.92,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28502,11.582,9.99,99.99,2447433.1384,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.524,9.99,99.99,9.99,10.299,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28503,11.996,9.99,99.99,2447434.1433,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.705,9.99,99.99,9.99,10.548,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28504,11.658,9.99,99.99,2449621.2671,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.589,9.99,99.99,9.99,10.365,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
