,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
16005,11.68,9.99,99.99,2443437.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.12,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16006,12.2,9.99,99.99,2443647.502,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.53,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16007,11.96,9.99,99.99,2443679.517,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.28,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16008,11.62,9.99,99.99,2443693.506,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.08,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16009,11.72,9.99,99.99,2443714.449,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.11,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16010,11.8,9.99,99.99,2443720.55,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.2,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16011,11.69,9.99,99.99,2443722.467,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.06,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16012,12.18,9.99,99.99,2443739.383,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.52,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16013,11.56,9.99,99.99,2443743.529,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.05,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16014,11.65,9.99,99.99,2443763.446,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.05,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16015,11.58,9.99,99.99,2443772.393,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.06,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16016,12.13,9.99,99.99,2443777.411,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.33,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16017,12.22,9.99,99.99,2443788.472,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.5,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16018,11.71,9.99,99.99,2443795.336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.06,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16019,11.65,9.99,99.99,2443803.254,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.09,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16020,12.02,9.99,99.99,2443868.223,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.32,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16021,11.71,9.99,99.99,2444049.413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.08,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16022,11.93,9.99,99.99,2444050.451,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.22,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16023,11.85,9.99,99.99,2444100.46,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.15,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16024,12.14,9.99,99.99,2444102.354,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.4,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16025,12.25,9.99,99.99,2444113.345,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.49,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
16026,11.518,9.99,99.99,2445488.2968,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.051,9.99,12.732,9.99,9.999,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16027,12.203,9.99,99.99,2445503.2655,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.443,9.99,99.99,9.99,10.463,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16028,11.569,9.99,99.99,2445508.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.075,9.99,12.68,9.99,10.015,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16029,11.609,9.99,99.99,2445509.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.097,9.99,12.683,9.99,10.07,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16030,12.113,9.99,99.99,2445512.2538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.362,9.99,13.471,9.99,10.4,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16031,12.284,9.99,99.99,2445513.2812,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.465,9.99,99.99,9.99,10.514,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16032,12.144,9.99,99.99,2445514.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.452,9.99,13.907,9.99,10.472,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16033,12.055,9.99,99.99,2445515.2617,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.748,9.99,10.392,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16034,11.583,9.99,99.99,2445648.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.131,9.99,12.706,9.99,10.074,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16035,11.531,9.99,99.99,2445649.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.072,9.99,12.575,9.99,10.021,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
16036,12.201,9.99,99.99,2447399.3568,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.447,9.99,99.99,9.99,10.465,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
16037,12.171,9.99,99.99,2447400.294,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.439,9.99,99.99,9.99,10.48,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
16038,12.012,9.99,99.99,2447401.2953,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.376,9.99,99.99,9.99,10.366,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
16039,11.727,9.99,99.99,2447402.2941,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.22,9.99,99.99,9.99,10.174,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
16040,11.533,9.99,99.99,2447403.3287,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.104,9.99,99.99,9.99,10.033,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
16041,11.57,9.99,99.99,2447404.296,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.124,9.99,99.99,9.99,10.039,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
