,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
20325,99.99,9.99,99.99,2449956.4029,9.99,9.164,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.007,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20326,99.99,9.99,99.99,2449957.428,9.99,8.872,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.469,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20327,99.99,9.99,99.99,2449959.3933,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20328,99.99,9.99,99.99,2449960.3634,9.99,8.98,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.754,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20329,99.99,9.99,99.99,2449962.4096,9.99,9.198,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.158,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20330,99.99,9.99,99.99,2449985.3158,9.99,9.112,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.02,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20331,99.99,9.99,99.99,2449986.3294,9.99,9.232,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.165,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20332,99.99,9.99,99.99,2449987.3686,9.99,9.198,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.043,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20333,99.99,9.99,99.99,2449992.3782,9.99,9.092,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.969,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20334,12.06,9.99,99.99,2450310.4278,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.729,9.99,99.99,9.99,10.61,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20335,12.176,9.99,99.99,2450311.4401,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.815,9.99,99.99,9.99,10.733,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20336,12.535,9.99,99.99,2450312.418,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.979,9.99,99.99,9.99,10.957,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20337,12.859,9.99,99.99,2450314.3917,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.211,9.99,99.99,9.99,11.203,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20338,12.469,9.99,99.99,2450315.334,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.028,9.99,99.99,9.99,10.946,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20339,11.7,9.99,99.99,2450316.3623,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.546,9.99,99.99,9.99,10.417,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20340,11.892,9.99,99.99,2450317.3746,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.673,9.99,99.99,9.99,10.516,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20341,12.068,9.99,99.99,2450318.3612,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.741,9.99,99.99,9.99,10.632,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
20342,12.243,9.99,99.99,2450319.3679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.754,9.99,99.99,9.99,10.734,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
