,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
7573,9.99,9.99,99.99,2443630.489,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.02,9.99,8.68,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7574,11.13,9.99,99.99,2443705.5,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.59,9.99,9.45,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7575,9.78,9.99,99.99,2443714.428,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.78,9.99,8.57,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7576,10.79,9.99,99.99,2443720.524,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.32,9.99,9.21,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7577,11.17,9.99,99.99,2443724.561,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.54,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7578,10.67,9.99,99.99,2443743.497,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.27,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7579,10.69,9.99,99.99,2443761.3,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.87,9.99,9.23,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7580,9.4,9.99,99.99,2443763.423,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.05,9.99,8.41,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7581,10.96,9.99,99.99,2443772.419,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.51,9.99,9.36,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7582,9.52,9.99,99.99,2443798.238,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.33,9.99,8.48,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7583,10.43,9.99,99.99,2443803.283,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.71,9.99,8.97,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7584,11.13,9.99,99.99,2443809.253,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.52,9.99,9.51,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7585,10.48,9.99,99.99,2443830.295,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.54,9.99,9.14,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7586,11.06,9.99,99.99,2444049.401,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.44,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7587,10.77,9.99,99.99,2444101.451,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.0,9.99,9.34,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7588,10.58,9.99,99.99,2444111.402,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.95,9.99,9.01,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7589,10.18,9.99,99.99,2444126.342,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.31,9.99,8.8,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7590,10.69,9.99,99.99,2444129.343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.13,9.99,9.12,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
