,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
29526,99.99,9.99,8.33,2445240.767,9.99,99.99,9.99,8.78,9.99,9.99,8.14,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
29527,99.99,9.99,8.13,2445241.733,9.99,99.99,9.99,8.53,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
29528,99.99,9.99,8.16,2445242.884,9.99,99.99,9.99,8.61,9.99,9.99,7.91,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
29529,11.838,9.99,99.99,2444139.8962,9.99,9.477,9.99,99.99,9.99,9.99,99.99,10.161,9.99,99.99,9.99,10.811,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29530,12.014,9.99,99.99,2444554.6727,9.99,9.557,9.99,99.99,9.99,9.99,99.99,10.248,9.99,99.99,9.99,10.924,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29531,12.007,9.99,99.99,2444822.8398,9.99,9.566,9.99,99.99,9.99,9.99,99.99,10.235,9.99,99.99,9.99,10.92,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29532,12.061,9.99,99.99,2444564.6371,9.99,9.564,9.99,99.99,9.99,9.99,99.99,10.262,9.99,99.99,9.99,10.971,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29533,12.18,9.99,99.99,2444218.6906,9.99,9.603,9.99,99.99,9.99,9.99,99.99,10.301,9.99,99.99,9.99,11.016,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29534,12.176,9.99,99.99,2444223.6111,9.99,9.586,9.99,99.99,9.99,9.99,99.99,10.283,9.99,99.99,9.99,11.006,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29535,12.184,9.99,99.99,2444140.9135,9.99,9.57,9.99,99.99,9.99,9.99,99.99,10.281,9.99,99.99,9.99,11.009,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29536,12.326,9.99,99.99,2444984.5961,9.99,9.649,9.99,99.99,9.99,9.99,99.99,10.353,9.99,99.99,9.99,11.096,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29537,12.355,9.99,99.99,2444555.6832,9.99,9.697,9.99,99.99,9.99,9.99,99.99,10.393,9.99,99.99,9.99,11.13,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29538,12.43,9.99,99.99,2444604.6205,9.99,9.727,9.99,99.99,9.99,9.99,99.99,10.437,9.99,99.99,9.99,11.19,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29539,12.451,9.99,99.99,2444911.848,9.99,9.766,9.99,99.99,9.99,9.99,99.99,10.47,9.99,99.99,9.99,11.214,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29540,12.545,9.99,99.99,2445014.6011,9.99,9.757,9.99,99.99,9.99,9.99,99.99,10.467,9.99,99.99,9.99,11.25,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29541,12.605,9.99,99.99,2444941.6338,9.99,9.788,9.99,99.99,9.99,9.99,99.99,10.519,9.99,99.99,9.99,11.303,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29542,12.567,9.99,99.99,2444941.7297,9.99,9.766,9.99,99.99,9.99,9.99,99.99,10.512,9.99,99.99,9.99,11.281,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29543,12.638,9.99,99.99,2444912.7174,9.99,9.837,9.99,99.99,9.99,9.99,99.99,10.561,9.99,99.99,9.99,11.345,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29544,12.584,9.99,99.99,2444215.6379,9.99,9.793,9.99,99.99,9.99,9.99,99.99,10.525,9.99,99.99,9.99,11.307,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29545,12.67,9.99,99.99,2445010.5947,9.99,9.886,9.99,99.99,9.99,9.99,99.99,10.596,9.99,99.99,9.99,11.381,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29546,12.712,9.99,99.99,2444986.6837,9.99,9.911,9.99,99.99,9.99,9.99,99.99,10.636,9.99,99.99,9.99,11.41,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29547,12.759,9.99,99.99,2444908.6883,9.99,9.919,9.99,99.99,9.99,9.99,99.99,10.651,9.99,99.99,9.99,11.439,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29548,12.733,9.99,99.99,2444913.6613,9.99,9.921,9.99,99.99,9.99,9.99,99.99,10.646,9.99,99.99,9.99,11.423,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29549,12.708,9.99,99.99,2444913.7742,9.99,9.933,9.99,99.99,9.99,9.99,99.99,10.629,9.99,99.99,9.99,11.398,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29550,12.65,9.99,99.99,2444216.6771,9.99,9.892,9.99,99.99,9.99,9.99,99.99,10.603,9.99,99.99,9.99,11.37,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29551,12.635,9.99,99.99,2444913.8765,9.99,9.905,9.99,99.99,9.99,9.99,99.99,10.615,9.99,99.99,9.99,11.365,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29552,12.468,9.99,99.99,2445011.5954,9.99,9.824,9.99,99.99,9.99,9.99,99.99,10.521,9.99,99.99,9.99,11.262,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
29553,12.162,9.99,99.99,2444821.7549,9.99,9.694,9.99,99.99,9.99,9.99,99.99,10.363,9.99,99.99,9.99,11.058,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
