,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
9250,11.78,9.99,99.99,2445648.3203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.511,9.99,99.99,9.99,10.405,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9251,12.163,9.99,99.99,2445649.328,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.681,9.99,99.99,9.99,10.671,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9252,12.918,9.99,99.99,2445660.2734,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.139,9.99,99.99,9.99,11.213,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9253,12.357,9.99,99.99,2445665.2929,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.763,9.99,99.99,9.99,10.766,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9254,12.525,9.99,99.99,2445666.2147,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.812,9.99,99.99,9.99,10.852,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9255,12.832,9.99,99.99,2445668.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.958,9.99,99.99,9.99,11.031,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9256,13.207,9.99,99.99,2445674.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.296,9.99,99.99,9.99,11.377,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9257,12.815,9.99,99.99,2445676.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.081,9.99,99.99,9.99,11.122,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9258,12.329,9.99,99.99,2445677.1913,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.81,9.99,99.99,9.99,10.79,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9259,12.059,9.99,99.99,2445679.1875,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.62,9.99,99.99,9.99,10.568,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9260,12.888,9.99,99.99,2445683.207,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.946,9.99,99.99,9.99,11.049,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9261,99.99,9.99,99.99,2445688.1562,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.371,9.99,99.99,9.99,11.47,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9262,13.153,9.99,99.99,2445689.203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.257,9.99,99.99,9.99,11.375,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9263,12.824,9.99,99.99,2445691.1639,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.105,9.99,14.051,9.99,11.141,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9264,11.993,9.99,99.99,2445694.1445,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.601,9.99,13.101,9.99,10.546,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9265,12.282,9.99,99.99,2445695.1484,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.731,9.99,13.48,9.99,10.722,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9266,13.253,9.99,99.99,2445701.1522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.243,9.99,14.83,9.99,11.371,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9267,12.827,9.99,99.99,2445706.1093,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.108,9.99,14.08,9.99,11.145,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9268,12.509,9.99,99.99,2445707.1093,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.941,9.99,13.673,9.99,10.935,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9269,12.106,9.99,99.99,2447399.4565,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.681,9.99,99.99,9.99,10.63,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9270,12.284,9.99,99.99,2447400.3531,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.755,9.99,99.99,9.99,10.71,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9271,12.435,9.99,99.99,2447401.3378,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.814,9.99,99.99,9.99,10.81,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9272,12.631,9.99,99.99,2447402.3338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.895,9.99,99.99,9.99,10.933,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9273,12.812,9.99,99.99,2447403.3627,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.978,9.99,99.99,9.99,11.021,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9274,12.966,9.99,99.99,2447404.3656,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.079,9.99,99.99,9.99,11.157,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9275,13.27,9.99,99.99,2447408.3273,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.335,9.99,99.99,9.99,11.411,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9276,13.122,9.99,99.99,2447409.3217,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.269,9.99,99.99,9.99,11.35,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9277,12.994,9.99,99.99,2447410.3456,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.184,9.99,99.99,9.99,11.252,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9278,12.789,9.99,99.99,2447411.3443,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.106,9.99,99.99,9.99,11.137,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9279,11.776,9.99,99.99,2447413.3073,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.518,9.99,99.99,9.99,10.405,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9280,11.75,9.99,99.99,2447413.423,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.529,9.99,99.99,9.99,10.427,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9281,11.994,9.99,99.99,2447414.3073,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.608,9.99,99.99,9.99,10.517,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9282,12.305,9.99,99.99,2447415.2861,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.756,9.99,99.99,9.99,10.726,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9283,12.43,9.99,99.99,2447416.2819,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.815,9.99,99.99,9.99,10.819,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9284,12.607,9.99,99.99,2447417.2725,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.881,9.99,99.99,9.99,10.902,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9285,12.76,9.99,99.99,2447418.2696,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.949,9.99,99.99,9.99,11.001,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9286,12.938,9.99,99.99,2447419.2491,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.056,9.99,99.99,9.99,11.14,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9287,13.092,9.99,99.99,2447420.2441,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.123,9.99,99.99,9.99,11.228,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9288,13.251,9.99,99.99,2447421.2366,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.259,9.99,99.99,9.99,11.367,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9289,13.414,9.99,99.99,2447422.2508,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.394,9.99,99.99,9.99,11.524,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9290,13.292,9.99,99.99,2447423.3745,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.335,9.99,99.99,9.99,11.432,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9291,13.198,9.99,99.99,2447424.2647,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.337,9.99,99.99,9.99,11.427,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9292,12.995,9.99,99.99,2447425.2842,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.197,9.99,99.99,9.99,11.248,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9293,12.575,9.99,99.99,2447427.3254,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.01,9.99,99.99,9.99,10.975,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9294,11.782,9.99,99.99,2447428.2529,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.538,9.99,99.99,9.99,10.407,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9295,11.778,9.99,99.99,2447428.4099,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.524,9.99,99.99,9.99,10.397,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9296,11.956,9.99,99.99,2447429.2542,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.6,9.99,99.99,9.99,10.502,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9297,12.26,9.99,99.99,2447430.2397,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.728,9.99,99.99,9.99,10.691,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9298,12.37,9.99,99.99,2447430.4411,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.778,9.99,99.99,9.99,10.76,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
