,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
20921,99.99,9.99,99.99,2453073.2542,9.99,8.843,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.752,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20922,99.99,9.99,99.99,2453081.2497,9.99,8.892,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.839,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20923,99.99,9.99,99.99,2453082.2332,9.99,8.956,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.848,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20924,99.99,9.99,99.99,2453084.2557,9.99,8.556,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.353,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20925,99.99,9.99,99.99,2453085.265,9.99,8.639,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.493,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20926,99.99,9.99,99.99,2453104.2159,9.99,8.934,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.888,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20927,99.99,9.99,99.99,2453108.1813,9.99,8.649,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.477,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20928,99.99,9.99,99.99,2453109.2107,9.99,8.68,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.559,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20929,99.99,9.99,99.99,2453111.2109,9.99,8.958,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.917,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20930,99.99,9.99,99.99,2453112.2191,9.99,8.878,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.752,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20931,99.99,9.99,99.99,2453114.2038,9.99,8.574,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.351,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20932,99.99,9.99,99.99,2453114.2743,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20933,99.99,9.99,99.99,2453116.1978,9.99,8.716,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.576,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20934,99.99,9.99,99.99,2453116.2678,9.99,8.742,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.604,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20935,99.99,9.99,99.99,2453118.1635,9.99,8.857,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.788,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
20936,11.904,9.99,99.99,2448101.2404,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.477,9.99,99.99,9.99,10.382,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20937,12.053,9.99,99.99,2448102.2486,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.531,9.99,99.99,9.99,10.465,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20938,12.2,9.99,99.99,2448103.2165,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.607,9.99,99.99,9.99,10.582,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20939,12.376,9.99,99.99,2448104.2298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.705,9.99,99.99,9.99,10.699,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20940,11.844,9.99,99.99,2448108.2121,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.459,9.99,99.99,9.99,10.357,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20941,12.013,9.99,99.99,2448109.2048,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.522,9.99,99.99,9.99,10.455,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20942,12.126,9.99,99.99,2448110.2034,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.561,9.99,99.99,9.99,10.501,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20943,12.3,9.99,99.99,2448111.2162,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.671,9.99,99.99,9.99,10.652,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20944,12.486,9.99,99.99,2448112.2071,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.786,9.99,99.99,9.99,10.772,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20945,12.497,9.99,99.99,2448113.199,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.815,9.99,99.99,9.99,10.825,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20946,12.164,9.99,99.99,2448114.2178,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.615,9.99,99.99,9.99,10.576,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20947,11.827,9.99,99.99,2448115.1987,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.467,9.99,99.99,9.99,10.381,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20948,11.967,9.99,99.99,2448116.2059,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.502,9.99,99.99,9.99,10.437,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20949,12.117,9.99,99.99,2448117.2229,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.576,9.99,99.99,9.99,10.518,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20950,12.291,9.99,99.99,2448118.2205,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.661,9.99,99.99,9.99,10.632,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20951,12.454,9.99,99.99,2448119.1953,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.778,9.99,99.99,9.99,10.773,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20952,11.86,9.99,99.99,2448123.1945,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.452,9.99,99.99,9.99,10.379,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20953,12.331,9.99,99.99,2448126.2166,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.693,9.99,99.99,9.99,10.678,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20954,12.493,9.99,99.99,2448127.1925,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.774,9.99,99.99,9.99,10.777,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
20955,99.99,9.99,99.99,2449934.2806,9.99,8.707,9.99,99.99,9.99,9.99,99.99,9.596,9.99,99.99,9.99,10.575,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20956,99.99,9.99,99.99,2449936.2671,9.99,8.886,9.99,99.99,9.99,9.99,99.99,9.82,9.99,99.99,9.99,10.831,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20957,99.99,9.99,99.99,2449944.2461,9.99,8.961,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.886,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20958,99.99,9.99,99.99,2449945.2227,9.99,8.903,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.843,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20959,99.99,9.99,99.99,2449946.219,9.99,8.752,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.572,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20960,99.99,9.99,99.99,2449947.2184,9.99,8.64,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.409,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20961,99.99,9.99,99.99,2449948.222,9.99,8.689,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.511,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20962,99.99,9.99,99.99,2449949.2243,9.99,8.725,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.587,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20963,99.99,9.99,99.99,2449950.2219,9.99,8.77,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.677,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20964,99.99,9.99,99.99,2449952.2266,9.99,8.911,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.931,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20965,99.99,9.99,99.99,2449953.2422,9.99,8.842,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.727,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20966,99.99,9.99,99.99,2449954.2155,9.99,8.681,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.45,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20967,99.99,9.99,99.99,2449955.2142,9.99,8.679,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.471,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
20968,99.99,9.99,99.99,2448101.2404,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
20969,99.99,9.99,99.99,2448102.2486,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
20970,99.99,9.99,99.99,2448103.2165,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
20971,99.99,9.99,99.99,2448104.2298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
20972,99.99,9.99,99.99,2448108.2121,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
20973,99.99,9.99,99.99,2448109.2048,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
20974,99.99,9.99,99.99,2448110.2034,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
20975,99.99,9.99,99.99,2448111.2162,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
