,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
17305,99.99,9.99,99.99,2449612.885,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.032,0.002,99.99,9.99,12.118,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17306,99.99,9.99,99.99,2449645.848,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.248,0.002,99.99,9.99,12.448,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17307,99.99,9.99,99.99,2449650.779,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.049,0.002,99.99,9.99,12.136,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17308,99.99,9.99,99.99,2449652.682,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.998,0.002,99.99,9.99,12.09,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17309,99.99,9.99,99.99,2449668.784,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.276,0.002,99.99,9.99,12.449,0.004,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17310,99.99,9.99,99.99,2449689.679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.011,0.002,99.99,9.99,12.101,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17311,99.99,9.99,99.99,2449710.526,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.009,0.002,99.99,9.99,12.113,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17312,99.99,9.99,99.99,2449934.745,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.294,0.002,99.99,9.99,12.459,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17313,99.99,9.99,99.99,2449998.606,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.356,0.002,99.99,9.99,12.572,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17314,99.99,9.99,99.99,2450005.555,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.064,0.002,99.99,9.99,12.197,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17315,99.99,9.99,99.99,2450018.736,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.459,0.002,99.99,9.99,12.679,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17316,99.99,9.99,99.99,2450039.657,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.253,0.002,99.99,9.99,12.383,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2769S
17317,14.611,9.99,99.99,2446284.3738,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.478,9.99,99.99,9.99,12.666,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17318,14.334,9.99,99.99,2446285.3366,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.325,9.99,99.99,9.99,12.469,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17319,13.894,9.99,99.99,2446286.3083,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.093,9.99,99.99,9.99,12.178,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17320,13.816,9.99,99.99,2446287.2931,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.041,9.99,99.99,9.99,12.136,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17321,13.89,9.99,99.99,2446288.3627,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.043,9.99,99.99,9.99,12.134,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17322,14.013,9.99,99.99,2446289.3584,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.098,9.99,99.99,9.99,12.216,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17323,14.317,9.99,99.99,2446290.3681,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.278,9.99,99.99,9.99,12.443,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17324,14.472,9.99,99.99,2446291.3277,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.341,9.99,99.99,9.99,12.54,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17325,14.501,9.99,99.99,2446294.2952,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.442,9.99,99.99,9.99,12.609,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17326,14.143,9.99,99.99,2446295.2954,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.22,9.99,99.99,9.99,12.341,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17327,13.822,9.99,99.99,2446296.2867,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.032,9.99,99.99,9.99,12.124,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17328,13.895,9.99,99.99,2446297.2774,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.063,9.99,99.99,9.99,12.153,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17329,13.877,9.99,99.99,2446298.3144,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.018,9.99,99.99,9.99,12.126,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17330,14.167,9.99,99.99,2446299.2807,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.181,9.99,99.99,9.99,12.332,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17331,14.379,9.99,99.99,2446300.2755,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.293,9.99,99.99,9.99,12.484,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17332,14.575,9.99,99.99,2446301.3203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.391,9.99,99.99,9.99,12.598,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17333,14.687,9.99,99.99,2446302.2998,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.495,9.99,99.99,9.99,12.714,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17334,14.605,9.99,99.99,2446303.2986,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.476,9.99,99.99,9.99,12.667,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17335,14.305,9.99,99.99,2446304.2825,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.336,9.99,99.99,9.99,12.472,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
17336,14.186,9.99,99.99,2447739.443,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.284,9.99,99.99,9.99,12.423,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17337,13.821,9.99,99.99,2447741.4335,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.042,9.99,99.99,9.99,12.1,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17338,13.839,9.99,99.99,2447742.4222,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.034,9.99,99.99,9.99,12.127,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17339,13.972,9.99,99.99,2447743.4059,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.085,9.99,99.99,9.99,12.219,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17340,14.291,9.99,99.99,2447744.4374,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.241,9.99,99.99,9.99,12.417,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17341,14.413,9.99,99.99,2447745.4348,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.338,9.99,99.99,9.99,12.532,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17342,14.635,9.99,99.99,2447746.4381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.486,9.99,99.99,9.99,12.695,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17343,14.61,9.99,99.99,2447747.3885,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.52,9.99,99.99,9.99,12.717,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17344,14.488,9.99,99.99,2447748.4395,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.464,9.99,99.99,9.99,12.615,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17345,14.04,9.99,99.99,2447749.4419,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.238,9.99,99.99,9.99,12.326,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17346,13.863,9.99,99.99,2447750.4355,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.077,9.99,99.99,9.99,12.151,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17347,13.827,9.99,99.99,2447751.445,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.049,9.99,99.99,9.99,12.133,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17348,13.824,9.99,99.99,2447752.434,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.013,9.99,99.99,9.99,12.096,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17349,14.111,9.99,99.99,2447753.4127,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.176,9.99,99.99,9.99,12.308,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17350,14.314,9.99,99.99,2447754.406,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.265,9.99,99.99,9.99,12.438,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
17351,14.461,9.99,99.99,2447755.4373,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.356,9.99,99.99,9.99,12.555,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..107B
