,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
16220,99.99,9.99,99.99,2453081.2625,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16221,99.99,9.99,99.99,2453082.2429,9.99,9.7,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.288,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16222,99.99,9.99,99.99,2453084.267,9.99,9.838,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.555,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16223,99.99,9.99,99.99,2453085.2736,9.99,9.963,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.709,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16224,99.99,9.99,99.99,2453104.2245,9.99,9.872,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.586,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16225,99.99,9.99,99.99,2453108.1881,9.99,10.013,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.692,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16226,99.99,9.99,99.99,2453109.2139,9.99,9.836,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.436,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16227,99.99,9.99,99.99,2453111.214,9.99,9.623,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.155,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16228,99.99,9.99,99.99,2453112.2221,9.99,9.663,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.253,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16229,99.99,9.99,99.99,2453114.2071,9.99,9.875,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.584,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16230,99.99,9.99,99.99,2453116.2056,9.99,10.081,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.816,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
16231,99.99,9.99,99.99,2453116.2716,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
