,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
6576,11.841,9.99,99.99,2445503.4179,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.409,9.99,12.997,9.99,10.312,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6577,12.096,9.99,99.99,2445505.4062,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.49,9.99,13.417,9.99,10.434,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6578,12.555,9.99,99.99,2445508.4022,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.711,9.99,14.151,9.99,10.699,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6579,12.775,9.99,99.99,2445512.3945,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.94,9.99,99.99,9.99,10.947,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6580,12.73,9.99,99.99,2445513.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.927,9.99,99.99,9.99,10.915,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6581,12.583,9.99,99.99,2445514.3945,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.866,9.99,14.126,9.99,10.837,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6582,12.128,9.99,99.99,2445648.2929,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.523,9.99,99.99,9.99,10.461,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6583,99.99,9.99,99.99,2445658.2889,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.774,9.99,99.99,9.99,10.732,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6584,12.001,9.99,99.99,2445665.2695,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.475,9.99,99.99,9.99,10.382,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6585,12.149,9.99,99.99,2445666.1953,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.507,9.99,99.99,9.99,10.457,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6586,12.776,9.99,99.99,2445674.203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.942,9.99,99.99,9.99,10.942,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6587,12.413,9.99,99.99,2445676.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.766,9.99,99.99,9.99,10.714,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6588,11.671,9.99,99.99,2445679.1718,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.393,9.99,99.99,9.99,10.225,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6589,12.021,9.99,99.99,2445683.1601,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.444,9.99,99.99,9.99,10.379,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6590,99.99,9.99,99.99,2445688.1445,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.803,9.99,99.99,9.99,10.811,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6591,12.821,9.99,99.99,2445691.1367,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.939,9.99,14.64,9.99,10.97,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6592,12.364,9.99,99.99,2445695.1328,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.779,9.99,13.656,9.99,10.718,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6593,12.616,9.99,99.99,2445706.0937,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.779,9.99,14.363,9.99,10.787,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6594,12.715,9.99,99.99,2445707.0937,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.861,9.99,14.504,9.99,10.876,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
6595,12.188,9.99,99.99,2447399.4381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.562,9.99,99.99,9.99,10.519,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6596,12.318,9.99,99.99,2447400.3373,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.601,9.99,99.99,9.99,10.548,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6597,12.435,9.99,99.99,2447401.3236,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.674,9.99,99.99,9.99,10.641,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6598,12.575,9.99,99.99,2447402.3206,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.76,9.99,99.99,9.99,10.747,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6599,12.689,9.99,99.99,2447403.3544,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.839,9.99,99.99,9.99,10.839,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6600,12.742,9.99,99.99,2447404.327,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.889,9.99,99.99,9.99,10.89,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6601,12.675,9.99,99.99,2447407.3133,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.905,9.99,99.99,9.99,10.906,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6602,12.448,9.99,99.99,2447408.3177,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.797,9.99,99.99,9.99,10.744,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6603,12.336,9.99,99.99,2447409.3149,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.761,9.99,99.99,9.99,10.711,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6604,12.264,9.99,99.99,2447410.3367,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.756,9.99,99.99,9.99,10.663,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6605,11.801,9.99,99.99,2447411.3336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.493,9.99,99.99,9.99,10.363,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6606,11.65,9.99,99.99,2447413.3019,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.344,9.99,99.99,9.99,10.215,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6607,99.99,9.99,99.99,2447413.4131,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.374,9.99,99.99,9.99,10.25,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6608,11.766,9.99,99.99,2447414.2999,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.392,9.99,99.99,9.99,10.26,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6609,11.935,9.99,99.99,2447415.2776,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.448,9.99,99.99,9.99,10.356,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6610,12.337,9.99,99.99,2447418.2638,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.616,9.99,99.99,9.99,10.574,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6611,12.46,9.99,99.99,2447419.2424,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.688,9.99,99.99,9.99,10.661,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6612,12.589,9.99,99.99,2447420.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.768,9.99,99.99,9.99,10.746,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6613,12.686,9.99,99.99,2447421.2306,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.842,9.99,99.99,9.99,10.832,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6614,12.752,9.99,99.99,2447422.2422,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.864,9.99,99.99,9.99,10.88,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6615,12.822,9.99,99.99,2447423.362,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.964,9.99,99.99,9.99,10.992,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6616,12.736,9.99,99.99,2447424.2573,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.903,9.99,99.99,9.99,10.915,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6617,12.62,9.99,99.99,2447425.2744,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.881,9.99,99.99,9.99,10.856,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6618,12.423,9.99,99.99,2447427.316,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.828,9.99,99.99,9.99,10.759,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6619,12.231,9.99,99.99,2447428.2442,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.736,9.99,99.99,9.99,10.632,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6620,11.821,9.99,99.99,2447429.2468,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.507,9.99,99.99,9.99,10.368,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6621,11.563,9.99,99.99,2447430.2322,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.317,9.99,99.99,9.99,10.143,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6622,11.631,9.99,99.99,2447430.4322,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.352,9.99,99.99,9.99,10.186,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6623,11.67,9.99,99.99,2447431.2798,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.366,9.99,99.99,9.99,10.206,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6624,11.761,9.99,99.99,2447432.2661,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.385,9.99,99.99,9.99,10.268,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6625,11.957,9.99,99.99,2447433.2611,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.46,9.99,99.99,9.99,10.37,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6626,12.092,9.99,99.99,2447434.2562,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.497,9.99,99.99,9.99,10.421,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
6627,12.643,9.99,99.99,2448854.3481,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.871,9.99,99.99,9.99,10.861,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6628,12.395,9.99,99.99,2448856.3399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.766,9.99,99.99,9.99,10.705,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6629,11.847,9.99,99.99,2448858.3197,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.527,9.99,99.99,9.99,10.397,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6630,11.665,9.99,99.99,2448860.3203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.347,9.99,99.99,9.99,10.184,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6631,11.948,9.99,99.99,2448862.3375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.444,9.99,99.99,9.99,10.348,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6632,12.837,9.99,99.99,2448870.2715,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.945,9.99,99.99,9.99,10.948,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6633,12.669,9.99,99.99,2448872.2809,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.896,9.99,99.99,9.99,10.881,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6634,12.374,9.99,99.99,2448874.3008,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.773,9.99,99.99,9.99,10.718,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6635,12.238,9.99,99.99,2448875.3136,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.707,9.99,99.99,9.99,10.636,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6636,11.78,9.99,99.99,2448876.303,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.459,9.99,99.99,9.99,10.332,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6637,11.601,9.99,99.99,2448877.2647,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.35,9.99,99.99,9.99,10.163,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6638,11.672,9.99,99.99,2448878.3003,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.341,9.99,99.99,9.99,10.196,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6639,11.975,9.99,99.99,2448880.248,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.45,9.99,99.99,9.99,10.359,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6640,12.082,9.99,99.99,2448881.24,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.481,9.99,99.99,9.99,10.427,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6641,12.236,9.99,99.99,2448882.2431,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.563,9.99,99.99,9.99,10.515,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6642,12.374,9.99,99.99,2448883.2687,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.625,9.99,99.99,9.99,10.601,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6643,12.488,9.99,99.99,2448884.244,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.684,9.99,99.99,9.99,10.675,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6644,12.642,9.99,99.99,2448885.2405,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.791,9.99,99.99,9.99,10.786,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6645,12.734,9.99,99.99,2448886.2509,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.836,9.99,99.99,9.99,10.863,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6646,12.787,9.99,99.99,2448887.2836,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.903,9.99,99.99,9.99,10.908,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
6647,12.824,9.99,99.99,2448888.2359,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.93,9.99,99.99,9.99,10.94,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
