,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
25066,10.98,9.99,99.99,2442318.428,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.53,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25067,10.84,9.99,99.99,2442350.42,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.48,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25068,11.13,9.99,99.99,2442623.503,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25069,11.25,9.99,99.99,2442685.476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.72,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25070,10.83,9.99,99.99,2442712.378,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.45,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25071,11.3,9.99,99.99,2442715.316,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.76,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25072,11.12,9.99,99.99,2442720.319,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.66,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25073,11.34,9.99,99.99,2442728.291,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.81,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25074,11.03,9.99,99.99,2442738.276,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.53,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25075,10.8,9.99,99.99,2442743.281,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.45,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25076,10.92,9.99,99.99,2442756.315,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.53,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25077,10.97,9.99,99.99,2442775.316,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.57,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25078,11.24,9.99,99.99,2442777.291,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25079,11.32,9.99,99.99,2442990.542,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.78,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25080,11.01,9.99,99.99,2443075.256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25081,11.23,9.99,99.99,2443163.223,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.67,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25082,11.3,9.99,99.99,2443375.44,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.7,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25083,11.27,9.99,99.99,2443382.537,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.79,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25084,10.8,9.99,99.99,2443403.378,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25085,10.778,9.99,99.99,2445267.5799,9.99,7.872,9.99,99.99,9.99,9.99,99.99,8.646,9.99,99.99,9.99,9.469,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25086,10.807,9.99,99.99,2445267.7188,9.99,7.87,9.99,99.99,9.99,9.99,99.99,8.665,9.99,99.99,9.99,9.488,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25087,10.823,9.99,99.99,2444943.6374,9.99,7.901,9.99,99.99,9.99,9.99,99.99,8.681,9.99,99.99,9.99,9.52,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25088,10.827,9.99,99.99,2445261.6558,9.99,7.866,9.99,99.99,9.99,9.99,99.99,8.668,9.99,99.99,9.99,9.505,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25089,10.806,9.99,99.99,2444912.6217,9.99,7.869,9.99,99.99,9.99,9.99,99.99,8.656,9.99,99.99,9.99,9.503,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25090,10.868,9.99,99.99,2444912.7083,9.99,7.883,9.99,99.99,9.99,9.99,99.99,8.656,9.99,99.99,9.99,9.517,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25091,10.858,9.99,99.99,2444139.8865,9.99,7.886,9.99,99.99,9.99,9.99,99.99,8.658,9.99,99.99,9.99,9.508,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25092,10.862,9.99,99.99,2444912.7839,9.99,7.877,9.99,99.99,9.99,9.99,99.99,8.664,9.99,99.99,9.99,9.514,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25093,10.848,9.99,99.99,2444987.6162,9.99,7.877,9.99,99.99,9.99,9.99,99.99,8.664,9.99,99.99,9.99,9.519,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25094,11.019,9.99,99.99,2444215.6191,9.99,7.921,9.99,99.99,9.99,9.99,99.99,8.722,9.99,99.99,9.99,9.615,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25095,11.032,9.99,99.99,2444913.6989,9.99,7.926,9.99,99.99,9.99,9.99,99.99,8.719,9.99,99.99,9.99,9.616,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
