,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
28127,12.636,9.99,99.99,2446994.2974,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.882,9.99,13.879,9.99,10.923,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28128,12.968,9.99,99.99,2446995.2562,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.085,9.99,99.99,9.99,11.172,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28129,13.029,9.99,99.99,2446996.2208,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.157,9.99,99.99,9.99,11.238,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28130,12.125,9.99,99.99,2446998.2504,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.64,9.99,99.99,9.99,10.584,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28131,12.55,9.99,99.99,2446999.2361,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.832,9.99,99.99,9.99,10.843,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28132,12.782,9.99,99.99,2447000.2371,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.967,9.99,99.99,9.99,11.022,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28133,13.046,9.99,99.99,2447001.2347,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.148,9.99,99.99,9.99,11.211,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28134,99.99,9.99,99.99,2447002.2366,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28135,12.017,9.99,99.99,2447003.2193,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.609,9.99,99.99,9.99,10.537,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...31B
28136,12.519,9.99,99.99,2447402.1415,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.848,9.99,99.99,9.99,10.856,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
28137,12.787,9.99,99.99,2447403.1368,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.016,9.99,99.99,9.99,11.044,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
