,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
33466,11.627,0.037,99.99,2443519.7844,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.218,0.047,10.903,0.019,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33467,11.702,0.017,99.99,2443546.7212,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.408,0.034,10.958,0.013,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33468,11.568,0.028,99.99,2443550.7243,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.141,0.035,10.852,0.027,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33469,12.804,0.029,99.99,2443572.5864,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.447,0.036,11.618,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33470,12.836,0.029,99.99,2443572.7038,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.618,0.036,11.769,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33471,12.828,0.086,99.99,2443596.5688,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.584,0.088,11.769,0.081,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33472,12.822,0.086,99.99,2443596.6181,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.283,0.088,11.678,0.081,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33473,12.908,0.095,99.99,2443600.6004,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.338,0.102,11.789,0.093,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33474,12.78,0.095,99.99,2443600.6684,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.23,0.102,11.769,0.093,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33475,11.842,0.056,99.99,2443776.8122,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.584,0.062,11.008,0.051,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33476,12.861,0.049,99.99,2443778.9026,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.548,0.053,11.705,0.046,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33477,11.766,0.017,99.99,2443811.7226,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.288,0.028,10.995,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33478,11.807,0.017,99.99,2443811.7706,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.407,0.028,11.031,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33479,11.869,0.017,99.99,2443811.8358,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.485,0.028,11.062,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33480,11.931,0.017,99.99,2443811.8945,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.536,0.028,11.108,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33481,12.774,0.049,99.99,2443848.7956,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.408,0.072,11.709,0.047,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
33482,99.99,9.99,99.99,2448654.722,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.818,0.002,99.99,9.99,11.414,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
33483,99.99,9.99,99.99,2448660.781,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.857,0.003,99.99,9.99,11.41,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
33484,99.99,9.99,99.99,2448663.675,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.09,0.003,99.99,9.99,11.73,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
33485,99.99,9.99,99.99,2448674.759,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.965,0.003,99.99,9.99,11.637,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
