,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
27361,11.38,9.99,99.99,2442424.424,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.04,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27362,11.96,9.99,99.99,2442448.389,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27363,11.88,9.99,99.99,2442449.263,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.52,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27364,11.13,9.99,99.99,2442450.341,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.98,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27365,11.86,9.99,99.99,2442453.357,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27366,11.99,9.99,99.99,2442454.305,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.55,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27367,11.35,9.99,99.99,2442455.344,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.11,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27368,11.54,9.99,99.99,2442473.29,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.13,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27369,11.66,9.99,99.99,2442715.632,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.25,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27370,11.82,9.99,99.99,2442743.525,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.36,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27371,11.81,9.99,99.99,2442775.491,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.33,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27372,11.14,9.99,99.99,2442816.355,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.94,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27373,11.86,9.99,99.99,2442831.322,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.51,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27374,11.99,9.99,99.99,2442841.284,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.57,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27375,11.6,9.99,99.99,2442869.305,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.23,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27376,11.73,9.99,99.99,2443162.418,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.3,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27377,11.35,9.99,99.99,2443424.621,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.03,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27378,11.2,9.99,99.99,2443483.53,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.99,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27379,99.99,9.99,6.73,2445222.924,9.99,99.99,9.99,7.29,9.99,9.99,6.51,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
27380,99.99,9.99,6.95,2445337.774,9.99,99.99,9.99,7.47,9.99,9.99,6.72,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
27381,99.99,9.99,6.82,2445338.708,9.99,99.99,9.99,7.37,9.99,9.99,6.61,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
