,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
10474,99.99,9.99,99.99,2448514.879,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.153,0.002,99.99,9.99,12.188,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10475,99.99,9.99,99.99,2448527.969,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.076,0.002,99.99,9.99,12.13,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10476,99.99,9.99,99.99,2448536.809,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.677,0.002,99.99,9.99,11.571,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10477,99.99,9.99,99.99,2448546.777,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.061,0.002,99.99,9.99,12.04,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10478,99.99,9.99,99.99,2448565.644,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.745,0.002,99.99,9.99,11.685,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10479,99.99,9.99,99.99,2448586.664,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.25,0.002,99.99,9.99,12.265,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10480,99.99,9.99,99.99,2448604.64,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.66,0.004,99.99,9.99,11.483,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10481,99.99,9.99,99.99,2448654.542,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.283,0.003,99.99,9.99,12.339,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10482,99.99,9.99,99.99,2448672.653,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.896,0.002,99.99,9.99,11.781,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10483,99.99,9.99,99.99,2448720.602,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.948,0.002,99.99,9.99,11.973,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10484,99.99,9.99,99.99,2448979.633,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.675,0.002,99.99,9.99,11.563,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10485,99.99,9.99,99.99,2448980.633,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.721,0.001,99.99,9.99,11.646,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
10486,13.632,9.99,99.99,2444835.4726,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.021,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10487,13.93,9.99,99.99,2445180.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.201,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10488,13.574,9.99,99.99,2445181.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.974,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10489,13.582,9.99,99.99,2445182.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.015,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10490,12.954,9.99,99.99,2445183.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.568,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10491,12.793,9.99,99.99,2445184.4413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.421,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10492,13.124,9.99,99.99,2445186.453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.587,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10493,13.292,9.99,99.99,2445187.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.716,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10494,13.455,9.99,99.99,2445188.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.783,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10495,13.647,9.99,99.99,2445189.4764,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.923,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10496,13.794,9.99,99.99,2445190.4764,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.007,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10497,13.954,9.99,99.99,2445191.4726,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.171,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10498,14.058,9.99,99.99,2445192.4726,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.254,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10499,14.12,9.99,99.99,2445193.4726,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.313,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10500,13.837,9.99,99.99,2445194.4764,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.156,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10501,12.836,9.99,99.99,2445198.4726,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.426,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10502,12.976,9.99,99.99,2445199.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.528,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10503,13.17,9.99,99.99,2445200.4764,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.622,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10504,13.335,9.99,99.99,2445201.4764,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.71,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10505,13.955,9.99,99.99,2445205.4335,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.16,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10506,13.591,9.99,99.99,2445666.371,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.048,9.99,99.99,9.99,11.982,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10507,99.99,9.99,99.99,2445676.3631,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.159,9.99,99.99,9.99,12.202,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10508,13.739,9.99,99.99,2445679.3514,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.112,9.99,99.99,9.99,12.097,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10509,13.869,9.99,99.99,2445689.3828,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.077,9.99,99.99,9.99,12.093,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10510,14.027,9.99,99.99,2445690.3006,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.191,9.99,99.99,9.99,12.232,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10511,14.123,9.99,99.99,2445691.2929,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.277,9.99,99.99,9.99,12.323,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10512,14.072,9.99,99.99,2445692.2889,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.267,9.99,99.99,9.99,12.294,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10513,13.742,9.99,99.99,2445693.2617,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.107,9.99,99.99,9.99,12.084,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10514,13.598,9.99,99.99,2445694.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.067,9.99,99.99,9.99,12.02,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10515,13.46,9.99,99.99,2445695.2734,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.008,9.99,14.495,9.99,11.916,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10516,99.99,9.99,99.99,2445704.2617,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.19,9.99,99.99,9.99,12.213,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10517,14.142,9.99,99.99,2445705.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.303,9.99,99.99,9.99,12.324,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10518,14.071,9.99,99.99,2445706.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.262,9.99,15.417,9.99,12.273,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10519,13.679,9.99,99.99,2445707.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.088,9.99,14.811,9.99,12.046,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10520,13.607,9.99,99.99,2450326.4298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.928,9.99,99.99,9.99,11.939,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
10521,13.723,9.99,99.99,2450327.4684,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.014,9.99,99.99,9.99,12.002,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
10522,99.99,9.99,99.99,2450328.4885,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.107,9.99,99.99,9.99,12.131,9.99,99.99,9.99,99.99,9.99,1998A+AT...17...79B
