,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
10293,14.213,9.99,99.99,2445649.3476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.987,9.99,99.99,9.99,12.154,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10294,14.074,9.99,99.99,2445665.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.021,9.99,99.99,9.99,12.149,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10295,13.817,9.99,99.99,2445666.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.876,9.99,99.99,9.99,12.004,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10296,13.064,9.99,99.99,2445668.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.531,9.99,99.99,9.99,11.508,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10297,13.537,9.99,99.99,2445674.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.585,9.99,99.99,9.99,11.657,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10298,13.875,9.99,99.99,2445676.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.765,9.99,99.99,9.99,11.906,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10299,14.059,9.99,99.99,2445677.203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.896,9.99,99.99,9.99,12.029,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10300,14.151,9.99,99.99,2445679.2109,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.055,9.99,99.99,9.99,12.189,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10301,12.41,9.99,99.99,2445683.1835,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.223,9.99,99.99,9.99,11.039,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10302,13.415,9.99,99.99,2445688.1796,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.525,9.99,99.99,9.99,11.59,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10303,13.528,9.99,99.99,2445689.2226,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.591,9.99,99.99,9.99,11.691,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10304,13.683,9.99,99.99,2445690.1522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.696,9.99,99.99,9.99,11.822,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10305,13.943,9.99,99.99,2445691.1756,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.836,9.99,99.99,9.99,11.982,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10306,13.979,9.99,99.99,2445694.1562,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.987,9.99,99.99,9.99,12.121,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10307,13.753,9.99,99.99,2445695.1601,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.859,9.99,15.133,9.99,11.951,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10308,13.105,9.99,99.99,2445701.1601,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.395,9.99,14.383,9.99,11.406,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10309,14.012,9.99,99.99,2445706.1131,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.914,9.99,99.99,9.99,12.05,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10310,14.107,9.99,99.99,2445707.1171,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.007,9.99,15.88,9.99,12.171,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
10311,13.592,9.99,99.99,2447400.3723,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.644,9.99,99.99,9.99,11.732,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
