,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
16428,10.74,9.99,99.99,2442407.32,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.63,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16429,11.2,9.99,99.99,2442424.328,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.97,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16430,11.3,9.99,99.99,2442685.526,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.88,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16431,10.94,9.99,99.99,2442710.458,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.8,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16432,10.78,9.99,99.99,2442712.433,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.64,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16433,11.38,9.99,99.99,2442715.509,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.97,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16434,11.06,9.99,99.99,2442743.375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16435,11.5,9.99,99.99,2442756.417,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.11,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16436,11.35,9.99,99.99,2442767.247,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.07,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
16437,11.57,9.99,99.99,2442775.277,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.16,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
