,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
18284,9.74,9.99,99.99,2442308.58,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.52,9.99,8.69,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18285,9.95,9.99,99.99,2442685.558,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.73,9.99,8.84,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18286,10.46,9.99,99.99,2442712.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.23,9.99,9.15,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18287,9.86,9.99,99.99,2442715.527,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.69,9.99,8.79,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18288,10.4,9.99,99.99,2442738.421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.14,9.99,9.11,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18289,10.26,9.99,99.99,2442743.41,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.04,9.99,9.01,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18290,9.77,9.99,99.99,2442756.262,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.47,9.99,8.72,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18291,10.56,9.99,99.99,2442777.42,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.36,9.99,9.26,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18292,10.02,9.99,99.99,2442787.217,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.71,9.99,8.97,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18293,9.99,9.99,99.99,2442990.515,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.82,9.99,8.85,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18294,10.5,9.99,99.99,2443490.201,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18295,10.39,9.99,99.99,2443560.239,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.18,9.99,9.11,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18296,9.93,9.99,99.99,2443830.21,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.65,9.99,8.84,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
18297,99.99,9.99,6.07,2445240.848,9.99,99.99,9.99,6.55,9.99,9.99,5.89,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
18298,99.99,9.99,6.23,2445242.951,9.99,99.99,9.99,6.7,9.99,9.99,6.06,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
