,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
31834,14.398,9.99,99.99,2447051.8197,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.057,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31835,13.306,9.99,99.99,2447052.6969,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.286,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31836,13.907,9.99,99.99,2447053.7839,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.676,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31837,14.231,9.99,99.99,2447127.6039,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.907,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31838,14.462,9.99,99.99,2447128.6205,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.097,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31839,13.41,9.99,99.99,2447129.6174,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.394,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31840,99.99,9.99,99.99,2447392.8271,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.759,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31841,99.99,9.99,99.99,2447452.6279,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.685,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31842,99.99,9.99,99.99,2447453.7223,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.923,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31843,99.99,9.99,99.99,2447454.6,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.079,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31844,99.99,9.99,99.99,2447455.6555,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.333,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31845,99.99,9.99,99.99,2447456.6971,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.626,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31846,14.168,9.99,99.99,2449127.9221,9.99,11.423,9.99,99.99,9.99,9.99,99.99,12.157,9.99,99.99,9.99,12.913,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31847,13.677,9.99,99.99,2449184.8421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.605,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31848,13.547,9.99,99.99,2449239.7517,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.507,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31849,14.217,9.99,99.99,2449280.6549,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.911,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31850,13.449,9.99,99.99,2449325.5711,9.99,11.147,9.99,99.99,9.99,9.99,99.99,11.815,9.99,99.99,9.99,12.439,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31851,14.169,9.99,99.99,2449477.9817,9.99,11.372,9.99,99.99,9.99,9.99,99.99,12.186,9.99,99.99,9.99,12.87,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31852,14.431,9.99,99.99,2449491.959,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.089,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31853,13.871,9.99,99.99,2449519.9625,9.99,11.219,9.99,99.99,9.99,9.99,99.99,11.945,9.99,99.99,9.99,12.662,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31854,14.374,9.99,99.99,2449568.8135,9.99,11.401,9.99,99.99,9.99,9.99,99.99,12.222,9.99,99.99,9.99,12.982,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31855,13.352,9.99,99.99,2449874.9298,9.99,11.067,9.99,99.99,9.99,9.99,99.99,11.746,9.99,99.99,9.99,12.357,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
31856,14.278,9.99,99.99,2448101.3239,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.123,9.99,99.99,9.99,12.917,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31857,13.383,9.99,99.99,2448103.2418,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.679,9.99,99.99,9.99,12.34,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31858,13.733,9.99,99.99,2448104.2595,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.83,9.99,99.99,9.99,12.554,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31859,13.564,9.99,99.99,2448108.243,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.745,9.99,99.99,9.99,12.448,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31860,14.042,9.99,99.99,2448109.2308,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.988,9.99,99.99,9.99,12.784,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31861,14.45,9.99,99.99,2448111.2422,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.27,9.99,99.99,9.99,13.084,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31862,13.392,9.99,99.99,2448112.2329,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.696,9.99,99.99,9.99,12.368,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31863,13.973,9.99,99.99,2448113.2282,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.925,9.99,99.99,9.99,12.695,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31864,14.014,9.99,99.99,2448113.3674,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.937,9.99,99.99,9.99,12.733,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31865,14.372,9.99,99.99,2448114.2549,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.149,9.99,99.99,9.99,12.994,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31866,14.526,9.99,99.99,2448115.211,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.295,9.99,99.99,9.99,13.141,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
31867,13.363,9.99,99.99,2448116.2193,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.634,9.99,99.99,9.99,12.318,9.99,99.99,9.99,99.99,9.99,1992A+AT....2..157B
