,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
8160,99.99,9.99,99.99,2448527.974,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.921,0.003,99.99,9.99,11.646,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8161,99.99,9.99,99.99,2448536.813,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.657,0.003,99.99,9.99,11.296,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8162,99.99,9.99,99.99,2448546.693,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.026,0.004,99.99,9.99,11.813,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8163,99.99,9.99,99.99,2448546.775,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.053,0.003,99.99,9.99,11.801,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8164,99.99,9.99,99.99,2448596.708,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.984,0.003,99.99,9.99,11.696,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8165,99.99,9.99,99.99,2448604.723,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.839,0.009,99.99,9.99,11.547,0.006,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8166,99.99,9.99,99.99,2448632.601,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.626,0.003,99.99,9.99,11.257,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8167,99.99,9.99,99.99,2448651.63,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.805,0.003,99.99,9.99,11.515,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8168,99.99,9.99,99.99,2448654.54,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.976,0.003,99.99,9.99,11.743,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8169,99.99,9.99,99.99,2448692.584,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.833,0.003,99.99,9.99,11.519,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
8170,12.483,9.99,99.99,2444831.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.407,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8171,12.211,9.99,99.99,2444833.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.212,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8172,12.344,9.99,99.99,2444834.4726,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.299,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8173,99.99,9.99,99.99,2444835.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8174,99.99,9.99,99.99,2444881.371,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8175,12.511,9.99,99.99,2444883.3242,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.404,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8176,12.648,9.99,99.99,2444884.375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.489,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8177,12.421,9.99,99.99,2445180.457,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.343,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
8178,12.521,9.99,99.99,2445181.453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.397,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
