,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
13102,12.182,9.99,99.99,2445648.1835,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.004,9.99,99.99,9.99,10.814,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13103,12.43,9.99,99.99,2445649.207,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.059,9.99,99.99,9.99,10.927,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13104,11.816,9.99,99.99,2445658.1522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.846,9.99,99.99,9.99,10.58,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13105,12.325,9.99,99.99,2445660.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.009,9.99,99.99,9.99,10.83,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13106,13.257,9.99,99.99,2445665.1679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.561,9.99,99.99,9.99,11.495,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13107,13.092,9.99,99.99,2445666.1288,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.498,9.99,99.99,9.99,11.42,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13108,12.567,9.99,99.99,2445668.1445,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.284,9.99,99.99,9.99,11.099,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13109,12.792,9.99,99.99,2445674.1484,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.209,9.99,99.99,9.99,11.102,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13110,13.23,9.99,99.99,2445676.125,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.52,9.99,99.99,9.99,11.453,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13111,12.054,9.99,99.99,2445869.2655,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.922,9.99,13.068,9.99,10.705,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13112,12.301,9.99,99.99,2445870.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.025,9.99,99.99,9.99,10.849,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13113,12.548,9.99,99.99,2445871.2538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.141,9.99,99.99,9.99,10.986,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13114,12.754,9.99,99.99,2445872.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.242,9.99,99.99,9.99,11.13,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13115,12.972,9.99,99.99,2445873.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.36,9.99,99.99,9.99,11.281,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13116,13.144,9.99,99.99,2445874.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.495,9.99,99.99,9.99,11.415,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13117,13.194,9.99,99.99,2445875.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.553,9.99,99.99,9.99,11.47,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13118,12.986,9.99,99.99,2445876.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.462,9.99,99.99,9.99,11.36,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13119,12.635,9.99,99.99,2445877.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.294,9.99,99.99,9.99,11.137,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13120,12.497,9.99,99.99,2445878.2264,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.243,9.99,99.99,9.99,11.066,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13121,11.973,9.99,99.99,2445880.2617,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.909,9.99,99.99,9.99,10.666,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13122,12.146,9.99,99.99,2445881.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.968,9.99,99.99,9.99,10.763,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13123,12.398,9.99,99.99,2445882.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.07,9.99,13.579,9.99,10.92,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13124,12.619,9.99,99.99,2445883.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.169,9.99,13.955,9.99,11.049,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13125,13.195,9.99,99.99,2445886.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.523,9.99,99.99,9.99,11.454,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13126,13.196,9.99,99.99,2445887.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.554,9.99,99.99,9.99,11.473,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13127,12.882,9.99,99.99,2447400.255,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.307,9.99,99.99,9.99,11.227,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13128,13.058,9.99,99.99,2447401.2416,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.448,9.99,99.99,9.99,11.357,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13129,13.221,9.99,99.99,2447402.243,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.542,9.99,99.99,9.99,11.469,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13130,13.147,9.99,99.99,2447403.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.549,9.99,99.99,9.99,11.464,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13131,12.822,9.99,99.99,2447404.2373,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.378,9.99,99.99,9.99,11.252,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13132,11.772,9.99,99.99,2447407.2375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.857,9.99,99.99,9.99,10.563,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13133,12.002,9.99,99.99,2447408.2253,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.914,9.99,99.99,9.99,10.664,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13134,12.248,9.99,99.99,2447409.235,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.014,9.99,99.99,9.99,10.827,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13135,12.477,9.99,99.99,2447410.2476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.135,9.99,99.99,9.99,10.986,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13136,12.692,9.99,99.99,2447411.2571,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.222,9.99,99.99,9.99,11.111,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13137,13.127,9.99,99.99,2447413.2325,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.484,9.99,99.99,9.99,11.415,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13138,13.22,9.99,99.99,2447414.2341,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.554,9.99,99.99,9.99,11.476,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13139,13.104,9.99,99.99,2447415.2189,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.533,9.99,99.99,9.99,11.44,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13140,12.711,9.99,99.99,2447416.2113,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.348,9.99,99.99,9.99,11.203,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13141,12.526,9.99,99.99,2447417.2098,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.258,9.99,99.99,9.99,11.071,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13142,12.252,9.99,99.99,2447418.2037,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.14,9.99,99.99,9.99,10.913,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13143,11.821,9.99,99.99,2447419.1897,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.827,9.99,99.99,9.99,10.557,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13144,12.068,9.99,99.99,2447420.1907,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.893,9.99,99.99,9.99,10.699,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13145,12.307,9.99,99.99,2447421.1823,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.039,9.99,99.99,9.99,10.85,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13146,12.537,9.99,99.99,2447422.1918,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.124,9.99,99.99,9.99,10.975,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13147,12.788,9.99,99.99,2447423.1879,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.265,9.99,99.99,9.99,11.148,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13148,13.037,9.99,99.99,2447424.1935,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.404,9.99,99.99,9.99,11.332,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13149,13.147,9.99,99.99,2447425.2167,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.522,9.99,99.99,9.99,11.438,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13150,13.006,9.99,99.99,2447427.2246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.538,9.99,99.99,9.99,11.42,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13151,12.643,9.99,99.99,2447428.1853,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.323,9.99,99.99,9.99,11.149,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13152,12.46,9.99,99.99,2447429.1816,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.256,9.99,99.99,9.99,11.072,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13153,12.009,9.99,99.99,2447430.1561,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.994,9.99,99.99,9.99,10.734,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13154,11.972,9.99,99.99,2447431.2036,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.907,9.99,99.99,9.99,10.667,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13155,12.133,9.99,99.99,2447432.1877,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.978,9.99,99.99,9.99,10.767,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13156,12.433,9.99,99.99,2447433.1899,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.089,9.99,99.99,9.99,10.934,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13157,12.638,9.99,99.99,2447434.1882,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.186,9.99,99.99,9.99,11.06,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
13158,99.99,9.99,99.99,2449945.3326,9.99,9.724,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.486,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13159,99.99,9.99,99.99,2449946.3116,9.99,9.614,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.308,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13160,99.99,9.99,99.99,2449947.3101,9.99,9.549,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.168,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13161,99.99,9.99,99.99,2449948.2896,9.99,9.448,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.016,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13162,99.99,9.99,99.99,2449949.2923,9.99,9.204,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.619,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13163,99.99,9.99,99.99,2449950.2792,9.99,9.187,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.68,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13164,99.99,9.99,99.99,2449952.2856,9.99,9.34,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.977,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13165,99.99,9.99,99.99,2449953.3534,9.99,9.425,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.133,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13166,99.99,9.99,99.99,2449954.2958,9.99,9.513,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.265,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13167,99.99,9.99,99.99,2449955.2694,9.99,9.648,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.415,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
13168,99.99,9.99,99.99,2445648.1835,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13169,99.99,9.99,99.99,2445649.207,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13170,99.99,9.99,99.99,2445658.1522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13171,99.99,9.99,99.99,2445660.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13172,99.99,9.99,99.99,2445665.1679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13173,99.99,9.99,99.99,2445666.1288,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13174,99.99,9.99,99.99,2445668.1445,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13175,99.99,9.99,99.99,2445674.1484,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13176,99.99,9.99,99.99,2445676.125,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13177,99.99,9.99,99.99,2445869.2655,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13178,99.99,9.99,99.99,2445870.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13179,99.99,9.99,99.99,2445871.2538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13180,99.99,9.99,99.99,2445872.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13181,99.99,9.99,99.99,2445873.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13182,99.99,9.99,99.99,2445874.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13183,99.99,9.99,99.99,2445875.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
13184,99.99,9.99,99.99,2445876.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,10
