,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
25520,10.08,9.99,99.99,2442229.521,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.0,9.99,8.63,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25521,9.85,9.99,99.99,2442277.419,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.79,9.99,8.39,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25522,10.12,9.99,99.99,2442297.338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.18,9.99,8.64,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25523,9.77,9.99,99.99,2442304.375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.55,9.99,8.41,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25524,9.94,9.99,99.99,2442308.315,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.8,9.99,8.49,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25525,9.99,9.99,99.99,2442591.433,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.77,9.99,8.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25526,9.94,9.99,99.99,2442620.459,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.89,9.99,8.5,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25527,9.09,9.99,99.99,2442623.449,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.83,9.99,7.96,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25528,9.3,9.99,99.99,2442642.338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.98,9.99,8.04,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25529,10.04,9.99,99.99,2442669.333,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.9,9.99,8.5,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25530,9.4,9.99,99.99,2442673.294,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.28,9.99,8.15,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25531,9.45,9.99,99.99,2442708.258,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.21,9.99,8.14,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25532,9.76,9.99,99.99,2442900.514,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.68,9.99,8.3,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25533,10.11,9.99,99.99,2442939.526,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.09,9.99,8.64,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25534,9.28,9.99,99.99,2442971.395,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.06,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25535,10.04,9.99,99.99,2442976.399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.97,9.99,8.63,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25536,10.11,9.99,99.99,2443287.553,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.09,9.99,8.68,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25537,9.63,9.99,99.99,2443340.389,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.46,9.99,8.24,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25538,9.13,9.99,99.99,2443363.461,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.84,9.99,7.96,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25539,9.05,9.99,99.99,2443705.366,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.76,9.99,7.89,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25540,99.99,9.99,5.15,2445136.925,9.99,99.99,9.99,5.56,9.99,9.99,4.98,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
25541,99.99,9.99,5.19,2445141.939,9.99,99.99,9.99,5.67,9.99,9.99,5.04,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
25542,99.99,9.99,5.33,2445146.882,9.99,99.99,9.99,5.82,9.99,9.99,5.15,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
