,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
26253,10.63,9.99,99.99,2442397.283,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26254,10.31,9.99,99.99,2442407.357,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.19,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26255,10.16,9.99,99.99,2442685.541,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.11,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26256,10.08,9.99,99.99,2442712.447,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26257,10.13,9.99,99.99,2442743.39,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.15,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26258,10.37,9.99,99.99,2442756.438,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.23,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26259,10.24,9.99,99.99,2442767.263,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26260,10.59,9.99,99.99,2442775.255,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.48,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26261,9.83,9.99,99.99,2442777.399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.92,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26262,9.8,9.99,99.99,2442794.256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.91,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26263,10.59,9.99,99.99,2442816.277,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26264,10.47,9.99,99.99,2443140.242,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.31,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26265,9.89,9.99,99.99,2443364.564,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.0,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26266,9.68,9.99,99.99,2443375.5,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.83,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26267,10.53,9.99,99.99,2443390.354,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.34,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26268,10.27,9.99,99.99,2443438.285,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.21,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26269,10.34,9.99,99.99,2443546.232,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26270,9.677,9.99,99.99,2444217.7172,9.99,7.797,9.99,99.99,9.99,9.99,99.99,8.32,9.99,99.99,9.99,8.843,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26271,9.676,9.99,99.99,2444821.9465,9.99,7.812,9.99,99.99,9.99,9.99,99.99,8.329,9.99,99.99,9.99,8.855,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26272,9.692,9.99,99.99,2444223.6552,9.99,7.802,9.99,99.99,9.99,9.99,99.99,8.325,9.99,99.99,9.99,8.85,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26273,9.859,9.99,99.99,2444909.7192,9.99,7.858,9.99,99.99,9.99,9.99,99.99,8.388,9.99,99.99,9.99,8.943,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26274,9.853,9.99,99.99,2444142.9368,9.99,7.835,9.99,99.99,9.99,9.99,99.99,8.386,9.99,99.99,9.99,8.935,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26275,9.929,9.99,99.99,2444218.6607,9.99,7.849,9.99,99.99,9.99,9.99,99.99,8.407,9.99,99.99,9.99,8.981,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26276,9.965,9.99,99.99,2444886.8466,9.99,7.875,9.99,99.99,9.99,9.99,99.99,8.426,9.99,99.99,9.99,9.0,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26277,10.151,9.99,99.99,2444910.6958,9.99,7.926,9.99,99.99,9.99,9.99,99.99,8.505,9.99,99.99,9.99,9.115,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26278,10.182,9.99,99.99,2444614.554,9.99,7.942,9.99,99.99,9.99,9.99,99.99,8.506,9.99,99.99,9.99,9.126,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26279,10.213,9.99,99.99,2444562.5922,9.99,7.965,9.99,99.99,9.99,9.99,99.99,8.536,9.99,99.99,9.99,9.157,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26280,10.262,9.99,99.99,2444562.8358,9.99,7.988,9.99,99.99,9.99,9.99,99.99,8.559,9.99,99.99,9.99,9.185,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26281,10.37,9.99,99.99,2445010.6049,9.99,8.05,9.99,99.99,9.99,9.99,99.99,8.628,9.99,99.99,9.99,9.258,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26282,10.407,9.99,99.99,2444987.5976,9.99,8.069,9.99,99.99,9.99,9.99,99.99,8.654,9.99,99.99,9.99,9.305,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26283,10.466,9.99,99.99,2444563.7961,9.99,8.096,9.99,99.99,9.99,9.99,99.99,8.688,9.99,99.99,9.99,9.337,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26284,10.494,9.99,99.99,2444139.9362,9.99,8.13,9.99,99.99,9.99,9.99,99.99,8.707,9.99,99.99,9.99,9.365,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26285,10.543,9.99,99.99,2444215.6865,9.99,8.14,9.99,99.99,9.99,9.99,99.99,8.746,9.99,99.99,9.99,9.404,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26286,10.555,9.99,99.99,2445011.621,9.99,8.155,9.99,99.99,9.99,9.99,99.99,8.74,9.99,99.99,9.99,9.406,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26287,10.537,9.99,99.99,2445267.62,9.99,8.184,9.99,99.99,9.99,9.99,99.99,8.783,9.99,99.99,9.99,9.422,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26288,10.466,9.99,99.99,2444105.9802,9.99,8.151,9.99,99.99,9.99,9.99,99.99,8.736,9.99,99.99,9.99,9.377,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26289,10.388,9.99,99.99,2444140.9395,9.99,8.122,9.99,99.99,9.99,9.99,99.99,8.707,9.99,99.99,9.99,9.341,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26290,10.336,9.99,99.99,2444913.697,9.99,8.099,9.99,99.99,9.99,9.99,99.99,8.685,9.99,99.99,9.99,9.3,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26291,10.205,9.99,99.99,2444216.7077,9.99,8.042,9.99,99.99,9.99,9.99,99.99,8.613,9.99,99.99,9.99,9.211,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26292,10.074,9.99,99.99,2444222.6893,9.99,7.994,9.99,99.99,9.99,9.99,99.99,8.545,9.99,99.99,9.99,9.123,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26293,9.768,9.99,99.99,2444908.6635,9.99,7.859,9.99,99.99,9.99,9.99,99.99,8.39,9.99,99.99,9.99,8.913,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26294,9.718,9.99,99.99,2444943.635,9.99,7.839,9.99,99.99,9.99,9.99,99.99,8.355,9.99,99.99,9.99,8.884,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26295,9.724,9.99,99.99,2444943.6734,9.99,7.828,9.99,99.99,9.99,9.99,99.99,8.344,9.99,99.99,9.99,8.878,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26296,9.698,9.99,99.99,2444908.8272,9.99,7.848,9.99,99.99,9.99,9.99,99.99,8.351,9.99,99.99,9.99,8.866,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26297,9.675,9.99,99.99,2444821.7458,9.99,7.811,9.99,99.99,9.99,9.99,99.99,8.32,9.99,99.99,9.99,8.852,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
26298,9.649,9.99,99.99,2444821.8415,9.99,7.806,9.99,99.99,9.99,9.99,99.99,8.308,9.99,99.99,9.99,8.842,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
