,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
17495,9.62,9.99,99.99,2442277.376,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.59,9.99,8.39,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17496,9.86,9.99,99.99,2442297.316,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.53,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17497,9.38,9.99,99.99,2442304.32,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.21,9.99,8.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17498,10.12,9.99,99.99,2442308.297,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.25,9.99,8.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17499,9.59,9.99,99.99,2442523.581,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.57,9.99,8.31,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17500,9.44,9.99,99.99,2442589.444,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.31,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17501,9.96,9.99,99.99,2442620.385,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.07,9.99,8.62,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17502,9.82,9.99,99.99,2442623.434,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.91,9.99,8.61,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17503,10.14,9.99,99.99,2442669.317,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.23,9.99,8.75,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17504,9.33,9.99,99.99,2442673.318,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.26,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17505,9.95,9.99,99.99,2442708.247,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.64,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17506,9.5,9.99,99.99,2442871.597,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.48,9.99,8.37,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17507,9.35,9.99,99.99,2442900.567,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.27,9.99,8.26,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17508,9.7,9.99,99.99,2442960.468,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.4,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17509,9.76,9.99,99.99,2443287.531,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.53,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17510,9.36,9.99,99.99,2443337.519,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17511,10.14,9.99,99.99,2443390.38,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.25,9.99,8.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17512,9.67,9.99,99.99,2443705.378,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.47,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
17513,99.99,9.99,5.58,2445136.932,9.99,99.99,9.99,6.04,9.99,9.99,5.44,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17514,99.99,9.99,5.38,2445141.946,9.99,99.99,9.99,5.92,9.99,9.99,5.23,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17515,99.99,9.99,5.55,2445146.89,9.99,99.99,9.99,5.98,9.99,9.99,5.41,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17516,99.99,9.99,5.52,2445147.891,9.99,99.99,9.99,5.95,9.99,9.99,5.39,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17517,99.99,9.99,5.45,2445148.876,9.99,99.99,9.99,5.86,9.99,9.99,5.31,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17518,99.99,9.99,5.4,2445158.895,9.99,99.99,9.99,5.82,9.99,9.99,5.27,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17519,99.99,9.99,5.55,2445162.868,9.99,99.99,9.99,6.09,9.99,9.99,5.39,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17520,99.99,9.99,5.62,2445163.863,9.99,99.99,9.99,6.11,9.99,9.99,5.47,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17521,99.99,9.99,5.6,2445164.845,9.99,99.99,9.99,6.07,9.99,9.99,5.47,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17522,99.99,9.99,5.56,2445165.79,9.99,99.99,9.99,6.0,9.99,9.99,5.43,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17523,99.99,9.99,5.49,2445166.789,9.99,99.99,9.99,5.89,9.99,9.99,5.35,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17524,99.99,9.99,5.42,2445167.785,9.99,99.99,9.99,5.87,9.99,9.99,5.3,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17525,99.99,9.99,5.38,2445168.785,9.99,99.99,9.99,5.82,9.99,9.99,5.24,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17526,99.99,9.99,5.54,2445184.849,9.99,99.99,9.99,5.99,9.99,9.99,5.42,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17527,99.99,9.99,5.49,2445185.787,9.99,99.99,9.99,5.96,9.99,9.99,5.36,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17528,99.99,9.99,5.42,2445189.78,9.99,99.99,9.99,5.94,9.99,9.99,5.27,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17529,99.99,9.99,5.6,2445192.781,9.99,99.99,9.99,6.07,9.99,9.99,5.46,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17530,99.99,9.99,5.59,2445193.773,9.99,99.99,9.99,6.03,9.99,9.99,5.43,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
17531,99.99,9.99,5.38,2445197.732,9.99,99.99,9.99,5.84,9.99,9.99,5.21,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
