,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
20132,10.86,9.99,99.99,2442276.421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.65,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20133,11.55,9.99,99.99,2442302.462,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.11,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20134,10.72,9.99,99.99,2442634.536,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.61,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20135,10.95,9.99,99.99,2442636.504,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.76,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20136,11.68,9.99,99.99,2442639.491,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.31,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20137,10.61,9.99,99.99,2442712.257,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.51,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20138,11.2,9.99,99.99,2442715.253,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.9,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20139,10.61,9.99,99.99,2442728.243,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.5,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20140,10.78,9.99,99.99,2442743.187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.62,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20141,11.47,9.99,99.99,2442927.493,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20142,11.63,9.99,99.99,2442960.438,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.29,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20143,11.03,9.99,99.99,2443227.62,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.86,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20144,11.03,9.99,99.99,2443340.449,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.81,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20145,11.6,9.99,99.99,2443342.529,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.18,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20146,11.46,9.99,99.99,2443375.413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20147,10.75,9.99,99.99,2443385.488,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20148,11.34,9.99,99.99,2443388.385,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.05,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20149,10.79,9.99,99.99,2443401.351,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.64,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20150,11.24,9.99,99.99,2443438.296,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20151,10.752,9.99,99.99,2446606.3315,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.875,9.99,11.536,9.99,9.577,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
20152,10.979,9.99,99.99,2446607.4276,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.997,9.99,11.872,9.99,9.74,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
20153,11.046,9.99,99.99,2446608.3341,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.011,9.99,11.953,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
20154,11.404,9.99,99.99,2446609.2264,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.203,9.99,12.382,9.99,10.02,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
20155,11.627,9.99,99.99,2446610.3582,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.343,9.99,12.666,9.99,10.184,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
20156,11.745,9.99,99.99,2446611.2313,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.45,9.99,12.768,9.99,10.295,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
20157,11.493,9.99,99.99,2446612.2177,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.339,9.99,12.437,9.99,10.157,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
