,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
12507,16.31,9.99,99.99,2445194.3125,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,14.029,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12508,16.188,9.99,99.99,2445195.3006,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.946,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12509,15.137,9.99,99.99,2445198.3397,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.072,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12510,15.464,9.99,99.99,2445199.2889,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.302,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12511,15.784,9.99,99.99,2445201.3006,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.535,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12512,16.205,9.99,99.99,2445204.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.884,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12513,16.355,9.99,99.99,2445205.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,14.001,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12514,16.295,9.99,99.99,2445207.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,14.043,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12515,16.147,9.99,99.99,2445208.2695,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.903,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12516,16.008,9.99,99.99,2445209.2226,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.767,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12517,15.674,9.99,99.99,2445210.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.524,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12518,15.136,9.99,99.99,2445211.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.082,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12519,15.532,9.99,99.99,2445212.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.337,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12520,15.636,9.99,99.99,2445213.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.42,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12521,15.809,9.99,99.99,2445214.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.582,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12522,99.99,9.99,99.99,2445646.1679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.394,9.99,99.99,9.99,13.874,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12523,99.99,9.99,99.99,2445649.1679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.58,9.99,99.99,9.99,14.085,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12524,99.99,9.99,99.99,2445665.121,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.202,9.99,99.99,9.99,13.622,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12525,99.99,9.99,99.99,2445668.1054,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.997,9.99,99.99,9.99,13.43,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
