,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
11952,15.175,9.99,99.99,2444825.3514,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.906,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11953,15.057,9.99,99.99,2444827.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.848,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11954,13.934,9.99,99.99,2444830.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.15,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11955,13.815,9.99,99.99,2444831.2381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.003,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11956,13.981,9.99,99.99,2444832.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.131,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11957,14.235,9.99,99.99,2444833.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.251,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11958,14.028,9.99,99.99,2444845.207,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.124,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11959,14.241,9.99,99.99,2444846.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.234,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11960,14.455,9.99,99.99,2444847.2109,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.373,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11961,14.659,9.99,99.99,2444848.203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.508,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11962,14.888,9.99,99.99,2444849.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.634,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11963,15.044,9.99,99.99,2444850.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.78,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11964,15.207,9.99,99.99,2444851.2264,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.907,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
11965,15.226,9.99,99.99,2444852.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.968,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
