,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
727,99.99,9.99,4.94,2445108.854,9.99,99.99,9.99,5.57,9.99,9.99,4.64,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
728,99.99,9.99,4.93,2445110.841,9.99,99.99,9.99,5.57,9.99,9.99,4.64,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
729,99.99,9.99,4.91,2445112.877,9.99,99.99,9.99,5.51,9.99,9.99,4.58,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
730,99.99,9.99,4.87,2445190.663,9.99,99.99,9.99,5.63,9.99,9.99,4.57,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
731,99.99,9.99,4.9,2445629.713,9.99,99.99,9.99,5.58,9.99,9.99,4.53,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
732,99.99,9.99,4.785,2445489.606,9.99,99.99,9.99,5.522,9.99,9.99,4.481,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
733,99.99,9.99,4.934,2445517.564,9.99,99.99,9.99,5.593,9.99,9.99,4.652,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
734,99.99,9.99,4.939,2445518.543,9.99,99.99,9.99,5.563,9.99,9.99,4.622,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
735,99.99,9.99,4.934,2445571.398,9.99,99.99,9.99,5.563,9.99,9.99,4.622,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
736,99.99,9.99,4.845,2445602.304,9.99,99.99,9.99,5.593,9.99,9.99,4.536,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
737,99.99,9.99,4.81,2445888.485,9.99,99.99,9.99,5.468,9.99,9.99,4.507,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
738,99.99,9.99,4.782,2445953.345,9.99,99.99,9.99,5.511,9.99,9.99,4.492,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
739,99.99,9.99,4.788,2446201.638,9.99,99.99,9.99,5.463,9.99,9.99,4.49,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
740,99.99,9.99,4.831,2446219.565,9.99,99.99,9.99,5.572,9.99,9.99,4.535,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
741,99.99,9.99,4.869,2446222.551,9.99,99.99,9.99,5.624,9.99,9.99,4.565,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
742,99.99,9.99,4.754,2446260.506,9.99,99.99,9.99,5.456,9.99,9.99,4.466,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
