,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
13727,16.456,9.99,99.99,2445179.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,14.134,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13728,16.303,9.99,99.99,2445180.4062,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,14.096,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13729,15.948,9.99,99.99,2445181.4139,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.858,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13730,16.002,9.99,99.99,2445182.4101,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.872,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13731,15.316,9.99,99.99,2445183.4179,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.34,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13732,15.366,9.99,99.99,2445184.4022,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.426,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13733,15.75,9.99,99.99,2445186.4375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.633,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13734,16.147,9.99,99.99,2445188.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.859,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13735,16.337,9.99,99.99,2445189.453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,14.018,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13736,16.354,9.99,99.99,2445191.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,14.18,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13737,15.964,9.99,99.99,2445192.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.889,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13738,16.003,9.99,99.99,2445193.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.93,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13739,15.352,9.99,99.99,2445194.4413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.435,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
13740,15.912,9.99,99.99,2445198.4453,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.694,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
