,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
5716,15.002,9.99,99.99,2444825.4101,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.445,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5717,14.864,9.99,99.99,2444827.2734,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.382,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5718,14.643,9.99,99.99,2444829.2968,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.224,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5719,14.449,9.99,99.99,2444830.2734,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.088,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5720,13.38,9.99,99.99,2444831.2695,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.334,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5721,13.475,9.99,99.99,2444832.2772,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.409,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5722,13.622,9.99,99.99,2444833.2617,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.481,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5723,13.8,9.99,99.99,2444834.3788,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.593,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5724,13.932,9.99,99.99,2444835.3828,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.654,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5725,14.098,9.99,99.99,2444836.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.733,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5726,14.72,9.99,99.99,2444841.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.16,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
