,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
32291,99.99,9.99,99.99,2447946.675,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.416,0.002,99.99,9.99,11.072,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32292,99.99,9.99,99.99,2447954.656,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.444,0.001,99.99,9.99,11.086,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32293,99.99,9.99,99.99,2448112.873,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.017,0.001,99.99,9.99,10.579,0.001,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32294,99.99,9.99,99.99,2448150.789,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.164,0.002,99.99,9.99,10.827,0.053,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32295,99.99,9.99,99.99,2448157.831,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.848,0.001,99.99,9.99,10.485,0.001,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32296,99.99,9.99,99.99,2448166.772,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.093,0.001,99.99,9.99,10.7,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32297,99.99,9.99,99.99,2448177.861,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.068,0.001,99.99,9.99,10.641,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32298,99.99,9.99,99.99,2448191.823,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.141,0.001,99.99,9.99,10.778,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32299,99.99,9.99,99.99,2448192.731,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.306,0.001,99.99,9.99,10.977,0.001,99.99,9.99,99.99,9.99,1995AJ....109.1239S
32300,99.99,9.99,99.99,2448205.585,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.354,0.002,99.99,9.99,11.027,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
