,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
25877,10.97,9.99,99.99,2442634.461,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.52,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25878,10.78,9.99,99.99,2442639.537,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25879,10.43,9.99,99.99,2442685.393,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.23,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25880,11.1,9.99,99.99,2442712.301,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.6,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25881,11.23,9.99,99.99,2442720.263,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25882,10.59,9.99,99.99,2442728.259,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.27,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25883,11.37,9.99,99.99,2442743.222,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.81,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25884,10.94,9.99,99.99,2442777.209,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.49,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25885,11.4,9.99,99.99,2442904.477,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25886,11.34,9.99,99.99,2442927.477,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.82,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25887,11.18,9.99,99.99,2443046.316,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25888,10.36,9.99,99.99,2443227.608,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.16,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25889,10.39,9.99,99.99,2443275.524,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25890,10.87,9.99,99.99,2443342.541,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.49,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25891,11.19,9.99,99.99,2443385.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.72,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25892,10.66,9.99,99.99,2443401.435,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.33,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25893,10.83,9.99,99.99,2443435.244,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.51,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25894,10.48,9.99,99.99,2443490.179,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.25,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25895,10.265,9.99,99.99,2444555.5697,9.99,7.707,9.99,99.99,9.99,9.99,99.99,8.389,9.99,99.99,9.99,9.131,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25896,10.289,9.99,99.99,2444555.6421,9.99,7.681,9.99,99.99,9.99,9.99,99.99,8.392,9.99,99.99,9.99,9.132,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25897,10.284,9.99,99.99,2444823.6499,9.99,7.713,9.99,99.99,9.99,9.99,99.99,8.395,9.99,99.99,9.99,9.154,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25898,10.33,9.99,99.99,2444823.7776,9.99,7.712,9.99,99.99,9.99,9.99,99.99,8.416,9.99,99.99,9.99,9.169,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25899,10.4,9.99,99.99,2444436.9125,9.99,7.72,9.99,99.99,9.99,9.99,99.99,8.43,9.99,99.99,9.99,9.207,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25900,10.527,9.99,99.99,2444490.825,9.99,7.761,9.99,99.99,9.99,9.99,99.99,8.486,9.99,99.99,9.99,9.271,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
25901,10.537,9.99,99.99,2444913.6107,9.99,7.777,9.99,99.99,9.99,9.99,99.99,8.501,9.99,99.99,9.99,9.28,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
