,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
4747,15.653,9.99,99.99,2445180.4375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.343,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4748,15.682,9.99,99.99,2445181.4335,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.386,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4749,15.836,9.99,99.99,2445182.4375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.446,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4750,15.936,9.99,99.99,2445183.4375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.496,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4751,15.941,9.99,99.99,2445184.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.556,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4752,16.268,9.99,99.99,2445187.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.775,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4753,16.216,9.99,99.99,2445188.4256,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.797,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4754,16.237,9.99,99.99,2445189.4687,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.853,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4755,16.259,9.99,99.99,2445190.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.868,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4756,16.447,9.99,99.99,2445191.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.925,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4757,16.35,9.99,99.99,2445192.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.904,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4758,16.46,9.99,99.99,2445193.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.968,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4759,16.318,9.99,99.99,2445194.457,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.999,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4760,14.987,9.99,99.99,2445198.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.011,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4761,15.002,9.99,99.99,2445199.4492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.015,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4762,15.129,9.99,99.99,2445200.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.079,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4763,15.222,9.99,99.99,2445201.4609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.103,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4764,15.55,9.99,99.99,2445205.4218,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,13.3,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4765,99.99,9.99,99.99,2445648.3554,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.938,9.99,99.99,9.99,13.288,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4766,15.616,9.99,99.99,2445649.4296,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.937,9.99,99.99,9.99,13.323,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4767,16.106,9.99,99.99,2445665.4413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.354,9.99,99.99,9.99,13.724,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4768,15.507,9.99,99.99,2445666.3437,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.066,9.99,99.99,9.99,13.36,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4769,15.723,9.99,99.99,2445676.3437,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.986,9.99,99.99,9.99,13.387,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4770,15.841,9.99,99.99,2445679.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.094,9.99,99.99,9.99,13.529,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4771,16.113,9.99,99.99,2445691.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.433,9.99,99.99,9.99,13.824,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4772,15.674,9.99,99.99,2445692.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.166,9.99,99.99,9.99,13.513,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4773,15.145,9.99,99.99,2445693.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.87,9.99,99.99,9.99,13.138,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4774,15.009,9.99,99.99,2445694.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.786,9.99,99.99,9.99,13.032,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
4775,15.054,9.99,99.99,2445695.246,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.771,9.99,99.99,9.99,13.031,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
