,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
23881,9.25,9.99,99.99,2442289.494,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.7,9.99,8.51,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23882,10.27,9.99,99.99,2442318.452,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.97,9.99,9.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23883,9.93,9.99,99.99,2442407.233,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.96,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23884,10.3,9.99,99.99,2442646.403,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.13,9.99,9.25,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23885,10.24,9.99,99.99,2442672.526,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.9,9.99,9.14,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23886,9.65,9.99,99.99,2442675.464,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23887,9.84,9.99,99.99,2442676.351,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.58,9.99,8.9,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23888,9.73,9.99,99.99,2442714.35,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.28,9.99,8.8,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23889,10.02,9.99,99.99,2442728.329,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.99,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23890,9.17,9.99,99.99,2442738.342,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.61,9.99,8.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23891,10.03,9.99,99.99,2442756.348,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.64,9.99,9.03,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23892,10.14,9.99,99.99,2442767.282,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.88,9.99,9.13,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23893,9.32,9.99,99.99,2442776.325,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.8,9.99,8.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23894,10.27,9.99,99.99,2442960.401,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.05,9.99,9.15,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23895,9.58,9.99,99.99,2443045.521,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.07,9.99,8.75,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23896,9.81,9.99,99.99,2443375.452,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.4,9.99,8.86,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23897,9.21,9.99,99.99,2443424.547,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.68,9.99,8.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23898,9.39,9.99,99.99,2443425.493,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.9,9.99,8.61,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23899,9.5,9.99,99.99,2443464.354,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.09,9.99,8.64,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
23900,9.159,9.99,99.99,2444104.9569,9.99,7.533,9.99,99.99,9.99,9.99,99.99,8.016,9.99,99.99,9.99,8.464,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
23901,9.182,9.99,99.99,2444945.6148,9.99,7.537,9.99,99.99,9.99,9.99,99.99,8.019,9.99,99.99,9.99,8.474,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
23902,9.187,9.99,99.99,2444945.6684,9.99,7.535,9.99,99.99,9.99,9.99,99.99,8.024,9.99,99.99,9.99,8.483,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
