,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
24817,11.96,9.99,99.99,2442299.567,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.33,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24818,11.78,9.99,99.99,2442424.233,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24819,11.58,9.99,99.99,2442426.222,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.09,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24820,10.84,9.99,99.99,2442710.416,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.57,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24821,11.16,9.99,99.99,2442711.496,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24822,11.45,9.99,99.99,2442712.389,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.94,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24823,11.81,9.99,99.99,2442715.466,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24824,11.57,9.99,99.99,2442738.406,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.03,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24825,11.23,9.99,99.99,2442743.301,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.8,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24826,11.43,9.99,99.99,2442756.219,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.95,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24827,11.64,9.99,99.99,2442776.405,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.04,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24828,11.86,9.99,99.99,2442777.336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.24,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24829,11.21,9.99,99.99,2443163.255,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.83,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24830,10.91,9.99,99.99,2443340.496,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.58,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24831,11.57,9.99,99.99,2443342.479,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.98,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24832,11.92,9.99,99.99,2443388.399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.36,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24833,10.84,9.99,99.99,2443390.563,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.56,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24834,11.87,9.99,99.99,2443425.529,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.21,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24835,11.47,9.99,99.99,2443490.389,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.01,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24836,11.063,9.99,99.99,2446608.4305,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.815,9.99,12.096,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
24837,11.887,9.99,99.99,2446611.4337,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.259,9.99,99.99,9.99,10.239,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
