,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
20427,8.87,9.99,99.99,2442404.448,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.38,9.99,8.05,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20428,9.13,9.99,99.99,2442443.428,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.68,9.99,8.21,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20429,9.85,9.99,99.99,2442448.454,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.59,9.99,8.75,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20430,8.9,9.99,99.99,2442450.362,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.43,9.99,8.08,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20431,9.72,9.99,99.99,2442453.413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.47,9.99,8.61,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20432,10.04,9.99,99.99,2442455.379,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.89,9.99,8.86,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20433,9.49,9.99,99.99,2442460.364,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.25,9.99,8.45,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20434,9.25,9.99,99.99,2442467.314,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.83,9.99,8.24,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20435,9.74,9.99,99.99,2442471.334,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.35,9.99,8.66,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20436,9.07,9.99,99.99,2442473.417,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.59,9.99,8.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20437,9.91,9.99,99.99,2442522.306,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.66,9.99,8.72,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20438,9.78,9.99,99.99,2442756.515,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.51,9.99,8.65,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20439,8.98,9.99,99.99,2442767.402,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.51,9.99,8.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20440,9.6,9.99,99.99,2442816.336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.37,9.99,8.55,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20441,9.21,9.99,99.99,2442837.304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.87,9.99,8.26,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20442,9.26,9.99,99.99,2442850.295,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.84,9.99,8.33,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20443,9.26,9.99,99.99,2443140.373,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.8,9.99,8.27,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20444,9.34,9.99,99.99,2443209.281,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.94,9.99,8.37,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20445,8.83,9.99,99.99,2443214.317,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.33,9.99,8.02,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20446,9.98,9.99,99.99,2443219.295,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.8,9.99,8.79,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20447,9.61,9.99,99.99,2443228.284,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.19,9.99,8.56,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20448,9.96,9.99,99.99,2443483.637,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.86,9.99,8.76,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20449,10.02,9.99,99.99,2443560.402,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.97,9.99,8.86,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
20450,9.83,9.99,99.99,2444633.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.69,9.99,99.99,9.99,99.99,9.99,1991CoKon..96.....S
