,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
6002,99.99,9.99,5.17,2445190.65,9.99,99.99,9.99,5.81,9.99,9.99,4.93,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
6003,99.99,9.99,5.22,2445226.49,9.99,99.99,9.99,5.76,9.99,9.99,4.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
6004,99.99,9.99,5.451,2445533.531,9.99,99.99,9.99,6.106,9.99,9.99,5.167,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
6005,99.99,9.99,5.414,2445571.438,9.99,99.99,9.99,6.08,9.99,9.99,5.154,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
6006,99.99,9.99,5.387,2445576.425,9.99,99.99,9.99,5.888,9.99,9.99,5.156,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
6007,99.99,9.99,5.46,2445829.696,9.99,99.99,9.99,6.105,9.99,9.99,5.201,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
6008,99.99,9.99,5.142,2445841.621,9.99,99.99,9.99,5.791,9.99,9.99,4.872,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
6009,99.99,9.99,5.383,2445906.517,9.99,99.99,9.99,6.065,9.99,9.99,5.12,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
6010,99.99,9.99,5.433,2445907.5,9.99,99.99,9.99,6.085,9.99,9.99,5.148,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
6011,99.99,9.99,5.527,2445949.376,9.99,99.99,9.99,6.147,9.99,9.99,5.255,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
