,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
7873,10.35,9.99,99.99,2443438.52,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.26,9.99,8.88,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7874,9.66,9.99,99.99,2443481.412,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.58,9.99,8.32,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7875,9.96,9.99,99.99,2443483.674,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.98,9.99,8.52,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7876,9.71,9.99,99.99,2443560.32,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.53,9.99,8.47,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7877,9.74,9.99,99.99,2443777.441,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.77,9.99,8.39,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7878,10.11,9.99,99.99,2443788.565,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.93,9.99,8.74,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7879,10.12,9.99,99.99,2443789.442,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.0,9.99,8.75,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7880,9.38,9.99,99.99,2443791.557,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.27,9.99,8.17,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7881,10.36,9.99,99.99,2443803.376,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.26,9.99,8.92,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7882,10.23,9.99,99.99,2443830.367,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.24,9.99,8.7,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7883,10.44,9.99,99.99,2443849.437,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.36,9.99,8.94,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7884,10.0,9.99,99.99,2443878.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.98,9.99,8.58,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7885,9.94,9.99,99.99,2443926.451,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.94,9.99,8.52,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7886,10.1,9.99,99.99,2443928.337,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.13,9.99,8.65,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7887,10.25,9.99,99.99,2443935.328,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.08,9.99,8.84,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7888,9.47,9.99,99.99,2443956.303,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.38,9.99,8.2,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7889,10.46,9.99,99.99,2443966.325,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.42,9.99,9.0,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7890,10.3,9.99,99.99,2444143.444,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.29,9.99,8.78,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7891,10.49,9.99,99.99,2444162.51,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.38,9.99,9.01,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7892,9.89,9.99,99.99,2444167.413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.74,9.99,8.55,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
7893,9.438,9.99,99.99,2444940.9519,9.99,6.802,9.99,99.99,9.99,9.99,99.99,7.513,9.99,99.99,9.99,8.257,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7894,9.504,9.99,99.99,2444563.8952,9.99,6.803,9.99,99.99,9.99,9.99,99.99,7.528,9.99,99.99,9.99,8.298,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7895,9.557,9.99,99.99,2444908.822,9.99,6.832,9.99,99.99,9.99,9.99,99.99,7.556,9.99,99.99,9.99,8.325,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7896,9.542,9.99,99.99,2444941.6575,9.99,6.816,9.99,99.99,9.99,9.99,99.99,7.555,9.99,99.99,9.99,8.318,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7897,9.734,9.99,99.99,2444909.8669,9.99,6.883,9.99,99.99,9.99,9.99,99.99,7.621,9.99,99.99,9.99,8.423,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7898,9.764,9.99,99.99,2444614.6248,9.99,6.882,9.99,99.99,9.99,9.99,99.99,7.62,9.99,99.99,9.99,8.442,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7899,9.864,9.99,99.99,2444910.8605,9.99,6.901,9.99,99.99,9.99,9.99,99.99,7.666,9.99,99.99,9.99,8.503,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7900,9.94,9.99,99.99,2444140.0142,9.99,6.928,9.99,99.99,9.99,9.99,99.99,7.715,9.99,99.99,9.99,8.567,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7901,10.025,9.99,99.99,2444222.8177,9.99,6.977,9.99,99.99,9.99,9.99,99.99,7.749,9.99,99.99,9.99,8.62,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7902,10.157,9.99,99.99,2444223.8176,9.99,7.028,9.99,99.99,9.99,9.99,99.99,7.821,9.99,99.99,9.99,8.707,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7903,10.234,9.99,99.99,2444913.8847,9.99,7.076,9.99,99.99,9.99,9.99,99.99,7.876,9.99,99.99,9.99,8.762,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7904,10.264,9.99,99.99,2445012.7506,9.99,7.098,9.99,99.99,9.99,9.99,99.99,7.884,9.99,99.99,9.99,8.784,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7905,10.443,9.99,99.99,2445014.7404,9.99,7.249,9.99,99.99,9.99,9.99,99.99,8.056,9.99,99.99,9.99,8.972,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7906,10.498,9.99,99.99,2444555.8386,9.99,7.335,9.99,99.99,9.99,9.99,99.99,8.121,9.99,99.99,9.99,9.041,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7907,10.48,9.99,99.99,2444984.6907,9.99,7.381,9.99,99.99,9.99,9.99,99.99,8.167,9.99,99.99,9.99,9.064,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7908,10.481,9.99,99.99,2444984.6907,9.99,7.381,9.99,99.99,9.99,9.99,99.99,8.166,9.99,99.99,9.99,9.065,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7909,10.371,9.99,99.99,2444886.8827,9.99,7.336,9.99,99.99,9.99,9.99,99.99,8.122,9.99,99.99,9.99,8.988,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7910,10.348,9.99,99.99,2444985.6458,9.99,7.304,9.99,99.99,9.99,9.99,99.99,8.084,9.99,99.99,9.99,8.95,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7911,10.256,9.99,99.99,2444821.8987,9.99,7.263,9.99,99.99,9.99,9.99,99.99,8.013,9.99,99.99,9.99,8.892,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7912,10.24,9.99,99.99,2444821.9516,9.99,7.243,9.99,99.99,9.99,9.99,99.99,8.008,9.99,99.99,9.99,8.877,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7913,10.181,9.99,99.99,2444986.5957,9.99,7.216,9.99,99.99,9.99,9.99,99.99,7.996,9.99,99.99,9.99,8.844,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7914,10.18,9.99,99.99,2444986.6404,9.99,7.22,9.99,99.99,9.99,9.99,99.99,7.993,9.99,99.99,9.99,8.839,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7915,10.176,9.99,99.99,2444986.721,9.99,7.222,9.99,99.99,9.99,9.99,99.99,7.973,9.99,99.99,9.99,8.837,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7916,10.16,9.99,99.99,2444986.7644,9.99,7.235,9.99,99.99,9.99,9.99,99.99,7.993,9.99,99.99,9.99,8.834,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7917,10.175,9.99,99.99,2444986.8105,9.99,7.218,9.99,99.99,9.99,9.99,99.99,7.984,9.99,99.99,9.99,8.832,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
7918,10.177,9.99,99.99,2444986.8427,9.99,7.222,9.99,99.99,9.99,9.99,99.99,7.988,9.99,99.99,9.99,8.834,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
