,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
9456,10.45,9.99,99.99,2443420.524,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.1,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9457,11.18,9.99,99.99,2443424.488,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.59,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9458,10.82,9.99,99.99,2443437.4,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.34,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9459,11.03,9.99,99.99,2443438.471,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.48,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9460,10.42,9.99,99.99,2443489.314,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.23,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9461,9.49,9.99,99.99,2443490.333,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.58,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9462,11.21,9.99,99.99,2443560.272,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9463,10.07,9.99,99.99,2443788.522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.9,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9464,10.29,9.99,99.99,2443789.456,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.01,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9465,10.68,9.99,99.99,2443791.529,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.24,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
