,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
13244,8.88,9.99,99.99,2443438.607,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.62,9.99,7.76,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13245,8.57,9.99,99.99,2443483.653,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.29,9.99,7.6,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13246,8.76,9.99,99.99,2443490.524,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.29,9.99,7.81,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13247,8.51,9.99,99.99,2443599.311,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.08,9.99,7.55,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13248,8.66,9.99,99.99,2443607.296,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.22,9.99,7.73,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13249,9.13,9.99,99.99,2443777.536,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.97,9.99,7.98,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13250,9.16,9.99,99.99,2443789.619,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.04,9.99,8.02,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13251,8.98,9.99,99.99,2443791.574,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.65,9.99,7.95,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13252,8.2,9.99,99.99,2443830.399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.74,9.99,7.37,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13253,8.13,9.99,99.99,2443911.445,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.69,9.99,7.35,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13254,8.79,9.99,99.99,2443926.434,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.53,9.99,7.73,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13255,8.23,9.99,99.99,2443957.302,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.7,9.99,7.43,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13256,8.9,9.99,99.99,2443966.312,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.49,9.99,7.86,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13257,8.21,9.99,99.99,2444143.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.74,9.99,7.41,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13258,9.13,9.99,99.99,2444162.535,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.87,9.99,8.02,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13259,8.48,9.99,99.99,2444203.324,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.07,9.99,7.5,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13260,8.67,9.99,99.99,2444251.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.37,9.99,7.63,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
13261,8.171,9.99,99.99,2443516.6893,9.99,6.73,9.99,99.99,9.99,9.99,99.99,6.847,9.99,99.99,9.99,7.359,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13262,8.48,9.99,99.99,2443564.6211,9.99,6.459,9.99,99.99,9.99,9.99,99.99,6.96,9.99,99.99,9.99,7.533,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13263,8.49,9.99,99.99,2443936.73,9.99,6.459,9.99,99.99,9.99,9.99,99.99,6.96,9.99,99.99,9.99,7.548,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13264,8.518,9.99,99.99,2444215.8399,9.99,6.45,9.99,99.99,9.99,9.99,99.99,6.987,9.99,99.99,9.99,7.553,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13265,8.657,9.99,99.99,2443937.5854,9.99,6.493,9.99,99.99,9.99,9.99,99.99,7.036,9.99,99.99,9.99,7.63,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13266,8.674,9.99,99.99,2443565.7042,9.99,6.51,9.99,99.99,9.99,9.99,99.99,7.046,9.99,99.99,9.99,7.644,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13267,8.689,9.99,99.99,2444216.8478,9.99,6.512,9.99,99.99,9.99,9.99,99.99,7.063,9.99,99.99,9.99,7.657,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13268,8.732,9.99,99.99,2443821.8616,9.99,6.535,9.99,99.99,9.99,9.99,99.99,7.078,9.99,99.99,9.99,7.68,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13269,8.831,9.99,99.99,2443938.5971,9.99,6.565,9.99,99.99,9.99,9.99,99.99,7.129,9.99,99.99,9.99,7.747,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13270,8.868,9.99,99.99,2443508.7158,9.99,6.574,9.99,99.99,9.99,9.99,99.99,7.145,9.99,99.99,9.99,7.776,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13271,8.874,9.99,99.99,2444217.8374,9.99,6.583,9.99,99.99,9.99,9.99,99.99,7.154,9.99,99.99,9.99,7.772,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13272,8.992,9.99,99.99,2443939.5965,9.99,6.647,9.99,99.99,9.99,9.99,99.99,7.225,9.99,99.99,9.99,7.869,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13273,9.087,9.99,99.99,2443730.9994,9.99,6.706,9.99,99.99,9.99,9.99,99.99,7.276,9.99,99.99,9.99,7.94,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13274,9.134,9.99,99.99,2443940.6007,9.99,6.721,9.99,99.99,9.99,9.99,99.99,7.299,9.99,99.99,9.99,7.957,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13275,9.182,9.99,99.99,2443731.9978,9.99,6.805,9.99,99.99,9.99,9.99,99.99,7.369,9.99,99.99,9.99,8.004,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13276,9.116,9.99,99.99,2443429.9222,9.99,7.248,9.99,99.99,9.99,9.99,99.99,7.363,9.99,99.99,9.99,7.993,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
13277,9.103,9.99,99.99,2443941.6072,9.99,6.76,9.99,99.99,9.99,9.99,99.99,7.324,9.99,99.99,9.99,7.974,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
