,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
19695,9.22,9.99,99.99,2442369.467,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.19,9.99,7.9,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19696,8.66,9.99,99.99,2442404.567,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.51,9.99,7.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19697,9.46,9.99,99.99,2442424.357,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.48,9.99,8.02,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19698,8.7,9.99,99.99,2442443.388,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.51,9.99,7.48,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19699,8.44,9.99,99.99,2442450.412,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.17,9.99,7.34,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19700,9.08,9.99,99.99,2442453.477,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.09,9.99,7.72,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19701,9.46,9.99,99.99,2442455.442,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.59,9.99,8.02,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19702,8.66,9.99,99.99,2442460.315,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.39,9.99,7.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19703,8.71,9.99,99.99,2442465.305,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.45,9.99,7.51,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19704,8.58,9.99,99.99,2442473.384,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.33,9.99,7.45,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19705,9.42,9.99,99.99,2442676.497,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.53,9.99,7.97,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19706,9.49,9.99,99.99,2442756.465,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.62,9.99,8.01,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
