,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
12872,11.93,9.99,99.99,2443420.505,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.31,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12873,10.93,9.99,99.99,2443424.469,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.71,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12874,10.51,9.99,99.99,2443438.456,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.38,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12875,11.45,9.99,99.99,2443483.328,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.05,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12876,11.1,9.99,99.99,2443489.295,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12877,11.32,9.99,99.99,2443490.306,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.9,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12878,10.77,9.99,99.99,2443524.261,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.55,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12879,11.01,9.99,99.99,2443743.562,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.72,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12880,10.61,9.99,99.99,2443777.572,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.48,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12881,11.72,9.99,99.99,2443798.274,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.3,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12882,10.87,9.99,99.99,2443837.435,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12883,11.27,9.99,99.99,2443878.242,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.82,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12884,11.7,9.99,99.99,2443928.241,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.07,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12885,11.92,9.99,99.99,2443931.254,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.35,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12886,11.28,9.99,99.99,2444054.508,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.95,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12887,11.47,9.99,99.99,2444066.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.05,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12888,11.9,9.99,99.99,2444111.488,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.2,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12889,11.83,9.99,99.99,2444159.375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.19,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12890,10.56,9.99,99.99,2444166.355,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.41,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12891,10.56,9.99,99.99,2444251.267,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.39,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
12892,11.159,9.99,99.99,2445649.3514,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.993,9.99,12.118,9.99,9.807,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12893,10.928,9.99,99.99,2445660.2968,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.882,9.99,11.802,9.99,9.659,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12894,11.925,9.99,99.99,2445665.3397,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.418,9.99,99.99,9.99,10.323,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12895,11.942,9.99,99.99,2445666.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.452,9.99,99.99,9.99,10.356,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12896,11.618,9.99,99.99,2445668.2655,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.321,9.99,12.681,9.99,10.169,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12897,11.376,9.99,99.99,2445674.2538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.091,9.99,12.487,9.99,9.919,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12898,11.724,9.99,99.99,2445676.2538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.27,9.99,12.949,9.99,10.166,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12899,11.905,9.99,99.99,2445677.207,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.387,9.99,99.99,9.99,10.298,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12900,11.872,9.99,99.99,2445679.2147,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.444,9.99,99.99,9.99,10.343,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12901,10.563,9.99,99.99,2445683.207,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.748,9.99,11.423,9.99,9.444,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12902,11.717,9.99,99.99,2445688.1835,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.264,9.99,99.99,9.99,10.147,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12903,11.886,9.99,99.99,2445691.1835,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.445,9.99,13.195,9.99,10.34,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12904,11.176,9.99,99.99,2445694.1601,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.09,9.99,12.172,9.99,9.878,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12905,10.645,9.99,99.99,2445695.1679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.787,9.99,11.522,9.99,9.494,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
12906,11.842,9.99,99.99,2445701.1639,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.217,9.99,10.252,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
