,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
30410,8.368,9.99,99.99,2444912.9571,9.99,6.853,9.99,99.99,9.99,9.99,99.99,7.294,9.99,99.99,9.99,7.709,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30411,8.369,9.99,99.99,2444987.8781,9.99,6.871,9.99,99.99,9.99,9.99,99.99,7.297,9.99,99.99,9.99,7.723,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30412,8.409,9.99,99.99,2444945.8755,9.99,6.878,9.99,99.99,9.99,9.99,99.99,7.318,9.99,99.99,9.99,7.74,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30413,8.439,9.99,99.99,2444945.9487,9.99,6.883,9.99,99.99,9.99,9.99,99.99,7.33,9.99,99.99,9.99,7.764,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30414,8.549,9.99,99.99,2445011.6856,9.99,6.912,9.99,99.99,9.99,9.99,99.99,7.366,9.99,99.99,9.99,7.824,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30415,8.624,9.99,99.99,2445011.8395,9.99,6.93,9.99,99.99,9.99,9.99,99.99,7.398,9.99,99.99,9.99,7.857,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30416,8.649,9.99,99.99,2444908.9432,9.99,6.936,9.99,99.99,9.99,9.99,99.99,7.411,9.99,99.99,9.99,7.875,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30417,8.789,9.99,99.99,2444913.8998,9.99,6.991,9.99,99.99,9.99,9.99,99.99,7.48,9.99,99.99,9.99,7.972,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30418,8.863,9.99,99.99,2444216.9955,9.99,7.006,9.99,99.99,9.99,9.99,99.99,7.509,9.99,99.99,9.99,8.014,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30419,8.908,9.99,99.99,2444614.7822,9.99,7.042,9.99,99.99,9.99,9.99,99.99,7.53,9.99,99.99,9.99,8.045,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30420,9.051,9.99,99.99,2445012.7893,9.99,7.067,9.99,99.99,9.99,9.99,99.99,7.554,9.99,99.99,9.99,8.115,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30421,9.077,9.99,99.99,2444909.9646,9.99,7.098,9.99,99.99,9.99,9.99,99.99,7.607,9.99,99.99,9.99,8.152,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30422,9.144,9.99,99.99,2444563.9968,9.99,7.132,9.99,99.99,9.99,9.99,99.99,7.641,9.99,99.99,9.99,8.199,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30423,9.178,9.99,99.99,2444217.8877,9.99,7.147,9.99,99.99,9.99,9.99,99.99,7.67,9.99,99.99,9.99,8.23,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30424,9.312,9.99,99.99,2444985.6756,9.99,7.208,9.99,99.99,9.99,9.99,99.99,7.745,9.99,99.99,9.99,8.317,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30425,9.337,9.99,99.99,2444910.9698,9.99,7.223,9.99,99.99,9.99,9.99,99.99,7.767,9.99,99.99,9.99,8.344,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
