,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
31935,10.198,9.99,99.99,2444984.7186,9.99,8.244,9.99,99.99,9.99,9.99,99.99,8.81,9.99,99.99,9.99,9.34,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31936,10.26,9.99,99.99,2444984.7907,9.99,8.287,9.99,99.99,9.99,9.99,99.99,8.853,9.99,99.99,9.99,9.387,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31937,10.28,9.99,99.99,2444984.8891,9.99,8.279,9.99,99.99,9.99,9.99,99.99,8.838,9.99,99.99,9.99,9.399,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31938,10.356,9.99,99.99,2445014.8297,9.99,8.292,9.99,99.99,9.99,9.99,99.99,8.878,9.99,99.99,9.99,9.447,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31939,10.408,9.99,99.99,2445010.656,9.99,8.304,9.99,99.99,9.99,9.99,99.99,8.905,9.99,99.99,9.99,9.479,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31940,10.44,9.99,99.99,2444912.8502,9.99,8.31,9.99,99.99,9.99,9.99,99.99,8.918,9.99,99.99,9.99,9.487,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31941,10.44,9.99,99.99,2444564.0002,9.99,8.35,9.99,99.99,9.99,9.99,99.99,8.93,9.99,99.99,9.99,9.507,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31942,10.482,9.99,99.99,2444912.9648,9.99,8.324,9.99,99.99,9.99,9.99,99.99,8.939,9.99,99.99,9.99,9.522,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31943,10.587,9.99,99.99,2444908.9507,9.99,8.388,9.99,99.99,9.99,9.99,99.99,8.988,9.99,99.99,9.99,9.593,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31944,10.653,9.99,99.99,2444555.9623,9.99,8.405,9.99,99.99,9.99,9.99,99.99,9.012,9.99,99.99,9.99,9.639,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31945,10.667,9.99,99.99,2444985.7113,9.99,8.404,9.99,99.99,9.99,9.99,99.99,9.018,9.99,99.99,9.99,9.646,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31946,10.713,9.99,99.99,2444985.8909,9.99,8.414,9.99,99.99,9.99,9.99,99.99,9.05,9.99,99.99,9.99,9.678,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31947,10.825,9.99,99.99,2445045.7253,9.99,8.459,9.99,99.99,9.99,9.99,99.99,9.101,9.99,99.99,9.99,9.741,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31948,10.848,9.99,99.99,2444913.9667,9.99,8.51,9.99,99.99,9.99,9.99,99.99,9.123,9.99,99.99,9.99,9.767,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31949,10.856,9.99,99.99,2445011.8474,9.99,8.485,9.99,99.99,9.99,9.99,99.99,9.12,9.99,99.99,9.99,9.751,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31950,10.924,9.99,99.99,2444909.9715,9.99,8.531,9.99,99.99,9.99,9.99,99.99,9.172,9.99,99.99,9.99,9.822,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31951,10.949,9.99,99.99,2444986.819,9.99,8.555,9.99,99.99,9.99,9.99,99.99,9.204,9.99,99.99,9.99,9.868,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31952,10.994,9.99,99.99,2444217.0053,9.99,8.578,9.99,99.99,9.99,9.99,99.99,9.227,9.99,99.99,9.99,9.892,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31953,11.022,9.99,99.99,2445012.7934,9.99,8.61,9.99,99.99,9.99,9.99,99.99,9.237,9.99,99.99,9.99,9.905,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31954,11.067,9.99,99.99,2444561.9514,9.99,8.634,9.99,99.99,9.99,9.99,99.99,9.268,9.99,99.99,9.99,9.943,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
31955,11.06,9.99,99.99,2444910.9794,9.99,8.663,9.99,99.99,9.99,9.99,99.99,9.283,9.99,99.99,9.99,9.961,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
