,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
26394,11.44,9.99,99.99,2442369.576,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.21,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26395,11.54,9.99,99.99,2442404.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.37,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26396,11.23,9.99,99.99,2442429.433,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.04,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26397,11.2,9.99,99.99,2442443.463,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.15,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26398,11.65,9.99,99.99,2442448.469,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.45,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26399,10.75,9.99,99.99,2442450.392,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26400,11.6,9.99,99.99,2442453.428,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.35,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26401,10.51,9.99,99.99,2442455.424,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.61,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26402,10.48,9.99,99.99,2442460.379,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.58,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26403,11.03,9.99,99.99,2442473.3,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.89,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26404,10.82,9.99,99.99,2442714.551,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.88,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
26405,10.63,9.99,99.99,2442715.612,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
