,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
34630,9.46,0.024,99.99,2443610.8546,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.216,0.03,8.391,0.014,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34631,9.285,0.031,99.99,2443670.7899,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.932,0.034,8.3,0.019,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
34632,8.773,9.99,99.99,2444394.60565,9.99,6.981,9.99,99.99,9.99,9.99,99.99,7.454,9.99,9.285,9.99,7.95,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34633,9.084,9.99,99.99,2444395.57351,9.99,7.054,9.99,99.99,9.99,9.99,99.99,7.59,9.99,9.704,9.99,8.134,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34634,9.08,9.99,99.99,2444395.58026,9.99,7.041,9.99,99.99,9.99,9.99,99.99,7.569,9.99,9.71,9.99,8.13,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34635,9.416,9.99,99.99,2444396.54213,9.99,7.206,9.99,99.99,9.99,9.99,99.99,7.771,9.99,10.123,9.99,8.355,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34636,9.418,9.99,99.99,2444396.54852,9.99,7.215,9.99,99.99,9.99,9.99,99.99,7.788,9.99,10.132,9.99,8.365,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34637,9.437,9.99,99.99,2444397.55505,9.99,7.271,9.99,99.99,9.99,9.99,99.99,7.843,9.99,10.098,9.99,8.419,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34638,9.43,9.99,99.99,2444397.56088,9.99,7.264,9.99,99.99,9.99,9.99,99.99,7.81,9.99,10.093,9.99,8.407,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34639,8.773,9.99,99.99,2444398.57668,9.99,6.962,9.99,99.99,9.99,9.99,99.99,7.449,9.99,9.316,9.99,7.939,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34640,8.774,9.99,99.99,2444398.58246,9.99,6.971,9.99,99.99,9.99,9.99,99.99,7.45,9.99,9.32,9.99,7.944,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
34641,9.214,9.99,99.99,2444399.54641,9.99,7.089,9.99,99.99,9.99,9.99,99.99,7.647,9.99,9.884,9.99,8.216,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
