,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
8383,9.77,9.99,99.99,2443481.486,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.75,9.99,8.41,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8384,10.07,9.99,99.99,2443483.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.19,9.99,8.67,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8385,8.47,9.99,99.99,2443489.444,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.84,9.99,7.66,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8386,8.6,9.99,99.99,2443490.436,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.92,9.99,7.7,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8387,10.17,9.99,99.99,2443560.383,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.25,9.99,8.75,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8388,9.64,9.99,99.99,2443572.293,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.54,9.99,8.3,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8389,9.03,9.99,99.99,2443599.282,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.59,9.99,7.95,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8390,9.63,9.99,99.99,2443777.624,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.26,9.99,8.46,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8391,9.65,9.99,99.99,2443791.639,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.2,9.99,8.43,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8392,8.93,9.99,99.99,2443793.626,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.34,9.99,7.98,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8393,9.82,9.99,99.99,2443928.28,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.4,9.99,8.61,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8394,9.18,9.99,99.99,2443935.267,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.87,9.99,8.04,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8395,10.2,9.99,99.99,2443957.274,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.26,9.99,8.78,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8396,9.3,9.99,99.99,2443966.282,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.97,9.99,8.14,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8397,9.86,9.99,99.99,2444167.53,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.86,9.99,8.47,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8398,9.55,9.99,99.99,2444203.511,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.06,9.99,8.41,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8399,8.56,9.99,99.99,2444251.37,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.79,9.99,7.69,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8400,8.721,9.99,99.99,2445014.684,9.99,6.844,9.99,99.99,9.99,9.99,99.99,7.346,9.99,99.99,9.99,7.855,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8401,8.816,9.99,99.99,2444222.9329,9.99,6.873,9.99,99.99,9.99,9.99,99.99,7.375,9.99,99.99,9.99,7.905,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8402,8.913,9.99,99.99,2444908.9155,9.99,6.907,9.99,99.99,9.99,9.99,99.99,7.416,9.99,99.99,9.99,7.964,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8403,9.105,9.99,99.99,2444909.9237,9.99,6.925,9.99,99.99,9.99,9.99,99.99,7.469,9.99,99.99,9.99,8.051,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8404,9.279,9.99,99.99,2444910.9173,9.99,6.982,9.99,99.99,9.99,9.99,99.99,7.538,9.99,99.99,9.99,8.156,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8405,9.461,9.99,99.99,2444911.8604,9.99,7.061,9.99,99.99,9.99,9.99,99.99,7.624,9.99,99.99,9.99,8.274,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8406,9.507,9.99,99.99,2444561.9133,9.99,7.061,9.99,99.99,9.99,9.99,99.99,7.638,9.99,99.99,9.99,8.298,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8407,9.62,9.99,99.99,2444912.8872,9.99,7.119,9.99,99.99,9.99,9.99,99.99,7.703,9.99,99.99,9.99,8.375,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8408,9.804,9.99,99.99,2444913.9097,9.99,7.211,9.99,99.99,9.99,9.99,99.99,7.816,9.99,99.99,9.99,8.507,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8409,10.048,9.99,99.99,2444945.898,9.99,7.359,9.99,99.99,9.99,9.99,99.99,7.985,9.99,99.99,9.99,8.702,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8410,10.06,9.99,99.99,2444886.9474,9.99,7.475,9.99,99.99,9.99,9.99,99.99,8.065,9.99,99.99,9.99,8.769,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8411,9.731,9.99,99.99,2444217.8628,9.99,7.321,9.99,99.99,9.99,9.99,99.99,7.899,9.99,99.99,9.99,8.55,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8412,9.541,9.99,99.99,2445010.6353,9.99,7.274,9.99,99.99,9.99,9.99,99.99,7.83,9.99,99.99,9.99,8.469,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8413,9.567,9.99,99.99,2445010.8533,9.99,7.296,9.99,99.99,9.99,9.99,99.99,7.838,9.99,99.99,9.99,8.483,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8414,9.571,9.99,99.99,2445011.68,9.99,7.343,9.99,99.99,9.99,9.99,99.99,7.886,9.99,99.99,9.99,8.498,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8415,9.566,9.99,99.99,2445011.733,9.99,7.334,9.99,99.99,9.99,9.99,99.99,7.877,9.99,99.99,9.99,8.488,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8416,9.482,9.99,99.99,2445011.8308,9.99,7.31,9.99,99.99,9.99,9.99,99.99,7.832,9.99,99.99,9.99,8.425,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8417,9.179,9.99,99.99,2445042.6436,9.99,7.188,9.99,99.99,9.99,9.99,99.99,7.696,9.99,99.99,9.99,8.243,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8418,9.087,9.99,99.99,2445042.7043,9.99,7.14,9.99,99.99,9.99,9.99,99.99,7.627,9.99,99.99,9.99,8.182,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8419,9.068,9.99,99.99,2445042.7232,9.99,7.175,9.99,99.99,9.99,9.99,99.99,7.633,9.99,99.99,9.99,8.178,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8420,9.048,9.99,99.99,2445042.7558,9.99,7.126,9.99,99.99,9.99,9.99,99.99,7.593,9.99,99.99,9.99,8.129,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8421,8.55,9.99,99.99,2445012.6355,9.99,6.888,9.99,99.99,9.99,9.99,99.99,7.356,9.99,99.99,9.99,7.81,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8422,8.483,9.99,99.99,2445012.7463,9.99,6.854,9.99,99.99,9.99,9.99,99.99,7.307,9.99,99.99,9.99,7.77,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8423,8.468,9.99,99.99,2445012.8206,9.99,6.84,9.99,99.99,9.99,9.99,99.99,7.301,9.99,99.99,9.99,7.744,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8424,8.481,9.99,99.99,2444555.9303,9.99,6.834,9.99,99.99,9.99,9.99,99.99,7.288,9.99,99.99,9.99,7.744,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
8425,10.148,9.99,99.99,2444185.576,9.99,7.455,9.99,99.99,9.99,9.99,99.99,8.08,9.99,99.99,9.99,8.788,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8426,10.016,9.99,99.99,2444186.597,9.99,7.444,9.99,99.99,9.99,9.99,99.99,8.05,9.99,99.99,9.99,8.725,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8427,9.658,9.99,99.99,2444187.566,9.99,7.331,9.99,99.99,9.99,9.99,99.99,7.892,9.99,99.99,9.99,8.515,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8428,9.365,9.99,99.99,2444210.53,9.99,7.023,9.99,99.99,9.99,9.99,99.99,7.584,9.99,99.99,9.99,8.193,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8429,8.89,9.99,99.99,2444238.517,9.99,6.907,9.99,99.99,9.99,9.99,99.99,7.39,9.99,99.99,9.99,7.926,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8430,9.576,9.99,99.99,2444257.386,9.99,7.105,9.99,99.99,9.99,9.99,99.99,7.679,9.99,99.99,9.99,8.331,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8431,9.864,9.99,99.99,2444548.57,9.99,7.244,9.99,99.99,9.99,9.99,99.99,7.853,9.99,99.99,9.99,8.535,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8432,10.142,9.99,99.99,2444551.569,9.99,7.478,9.99,99.99,9.99,9.99,99.99,8.112,9.99,99.99,9.99,8.8,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
8433,9.935,9.99,99.99,2444552.59,9.99,7.42,9.99,99.99,9.99,9.99,99.99,8.016,9.99,99.99,9.99,8.68,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
